random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[1, 10, 30, 9, 14, 22, 49, 2, 16, 3, 31, 18, 35, 0, 12, 13, 29, 6, 27, 42, 26, 11, 20, 32, 53, 37, 7, 56, 15, 28, 17, 21, 24, 19, 38, 52, 8, 58, 46, 40, 50, 4, 34, 36, 39, 43, 23, 55, 44, 5, 57, 51, 33, 41, 45, 59, 25, 47, 48]","[array([95], dtype=int64), array([79], dtype=int64), array([13], dtype=int64), array([29], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([39], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[83.01802825927734, 89.57144927978516, 88.55780792236328, 91.34107971191406, 81.19866180419922, 86.54974365234375, 81.02291870117188, 71.7378158569336, 50.386844635009766, 41.09882354736328, 38.19011306762695, 21.597471237182617, 32.74943161010742, 21.780651092529297, 31.841602325439453, 30.445602416992188, 20.19129753112793, 76.76798248291016, 14.566189765930176, 16.151565551757812, 10.052701950073242, 51.374752044677734, 11.977618217468262, 15.840317726135254, 10.851029396057129, 8.09831714630127, 37.488800048828125, 7.438704013824463, 15.059717178344727, 4.496238708496094, 4.869888782501221, 3.2560839653015137, 5.864876747131348, 1.049472451210022, 1.347845435142517, 1.7017000913619995, 10.802495002746582, 1.6814017295837402, 4.062873363494873, 2.540328025817871, 0.9035917520523071, 8.332228660583496, 1.2207510471343994, 1.2518961429595947, 0.4814164638519287, 0.15000319480895996, 1.08082914352417, 0.19936828315258026, -0.0036995764821767807, 15.290722846984863, 1.8192200660705566, -0.11216501146554947, 0.4745118319988251, -0.8040462136268616, 1.1612941026687622, 2.6439483165740967, -1.570970892906189, 4.30559778213501, 2.110367774963379]"
1,[8],"[1, 9, 3, 10, 2, 16, 49, 29, 19, 35, 18, 14, 31, 13, 6, 17, 42, 12, 46, 27, 0, 11, 32, 28, 30, 51, 53, 22, 56, 26, 38, 37, 24, 54, 40, 7, 15, 52, 4, 21, 58, 34, 50, 20, 23, 45, 36, 55, 39, 43, 41, 44, 57, 33, 5, 59, 25, 47, 48]","[array([95], dtype=int64), array([29], dtype=int64), array([5], dtype=int64), array([79], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([81], dtype=int64), array([95], dtype=int64), array([15], dtype=int64), array([7], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[70.7300033569336, 80.1755599975586, 73.99974060058594, 74.6327133178711, 77.20501708984375, 73.50200653076172, 77.22674560546875, 47.128822326660156, 26.601261138916016, 25.11110496520996, 39.74310302734375, 60.21033477783203, 25.39734649658203, 17.94862937927246, 87.06991577148438, 25.962797164916992, 9.161057472229004, 13.25378131866455, 14.560251235961914, 15.215801239013672, 30.80994415283203, 44.13015365600586, 49.00893020629883, 11.516068458557129, 9.932306289672852, 4.491796016693115, 5.450477123260498, 7.053743839263916, 3.7321043014526367, 6.385612964630127, 3.0751383304595947, 5.337197303771973, 1.9402989149093628, 2.1333775520324707, 2.3516483306884766, 2.712421417236328, 34.366180419921875, 2.0984392166137695, 5.0541791915893555, 1.024964451789856, 0.8070455193519592, 1.024916172027588, 0.654053270816803, 3.171280860900879, 0.4795435667037964, 1.9664355516433716, 1.1106148958206177, 0.6531894207000732, 0.23572751879692078, 0.6221281886100769, 0.22893938422203064, 0.5216124057769775, 0.6980131268501282, 0.16416077315807343, 31.130952835083008, 2.6439483165740967, -1.570970892906189, 4.30559778213501, 2.110367774963379]"
2,[55],"[1, 9, 3, 49, 17, 10, 16, 14, 29, 6, 2, 35, 18, 42, 53, 32, 31, 11, 30, 28, 12, 13, 26, 27, 0, 38, 7, 21, 46, 19, 56, 15, 37, 24, 22, 20, 8, 58, 40, 54, 52, 4, 50, 45, 39, 23, 34, 41, 33, 36, 51, 44, 43, 57, 5, 59, 25, 47, 48]","[array([95], dtype=int64), array([29], dtype=int64), array([5], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([13], dtype=int64), array([7], dtype=int64), array([39], dtype=int64), array([5], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([81], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[85.7921142578125, 89.1025619506836, 73.99864959716797, 79.09170532226562, 69.99793243408203, 74.93959045410156, 76.44126892089844, 54.76568603515625, 50.64336395263672, 55.433406829833984, 71.1785659790039, 31.76323127746582, 33.99570083618164, 34.6808967590332, 15.830228805541992, 16.576221466064453, 13.328553199768066, 16.109397888183594, 14.137981414794922, 14.640910148620605, 10.07868766784668, 19.968997955322266, 6.633567810058594, 8.977795600891113, 29.36370086669922, 8.575301170349121, 28.284778594970703, 5.979984283447266, 5.65339994430542, 2.4415745735168457, 4.965317249298096, 31.68866539001465, 11.005330085754395, 2.4099113941192627, 2.26562237739563, 0.6996942758560181, 3.755286455154419, 1.2414788007736206, 2.4897356033325195, 2.773050308227539, 1.6435827016830444, 2.2341508865356445, 2.6938374042510986, 0.16891205310821533, 0.4565291404724121, 0.3634960353374481, 0.16118480265140533, 0.36832791566848755, 0.5433833599090576, 1.2027066946029663, 0.058866728097200394, 0.0719558522105217, -0.25747063755989075, -0.9510324597358704, 31.130952835083008, 2.6439483165740967, -1.570970892906189, 4.30559778213501, 2.110367774963379]"
3,[15],"[14, 18, 3, 17, 29, 35, 22, 12, 10, 9, 6, 31, 28, 16, 53, 30, 40, 49, 46, 2, 0, 20, 13, 54, 11, 26, 1, 56, 27, 37, 7, 32, 19, 24, 45, 38, 42, 52, 44, 8, 4, 33, 23, 58, 34, 55, 21, 36, 50, 51, 39, 57, 43, 41, 5, 59, 25, 47, 48]","[array([9], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([79], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([81], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[78.9845199584961, 44.22121047973633, 74.00028991699219, 69.99887084960938, 32.499427795410156, 37.62538528442383, 19.21308708190918, 49.999305725097656, 61.668922424316406, 78.23067474365234, 57.109989166259766, 34.845664978027344, 25.561595916748047, 38.43043899536133, 36.696075439453125, 13.474733352661133, 22.616025924682617, 19.521446228027344, 18.375274658203125, 14.437108039855957, 17.331071853637695, 17.74835777282715, 44.95818328857422, 19.563766479492188, 47.40772247314453, 11.606285095214844, 24.571035385131836, 3.1259052753448486, 6.710686683654785, 11.984856605529785, 49.79862976074219, 28.53854751586914, 2.5204427242279053, 1.2456892728805542, 1.1028908491134644, 4.508409023284912, 3.768671989440918, 1.68385648727417, 3.563121795654297, 4.629465103149414, 4.864799976348877, 1.0652081966400146, 1.140762209892273, 1.3054581880569458, 0.6451656818389893, 2.680420160293579, 0.40970078110694885, 0.5954631567001343, 2.1377320289611816, 0.2880758047103882, 0.04239358380436897, 0.8854914903640747, -0.19639329612255096, -0.4267664849758148, 31.130952835083008, 2.6439483165740967, -1.570970892906189, 4.30559778213501, 2.110367774963379]"
4,[15],"[14, 18, 3, 17, 29, 35, 22, 12, 10, 9, 6, 31, 28, 16, 53, 30, 40, 49, 46, 2, 0, 20, 13, 54, 11, 26, 1, 56, 27, 37, 7, 32, 19, 24, 45, 38, 42, 52, 44, 8, 4, 33, 23, 58, 34, 55, 21, 36, 50, 51, 39, 57, 43, 41, 5, 59, 25, 47, 48]","[array([9], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([79], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([81], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[78.9845199584961, 44.22121047973633, 74.00028991699219, 69.99887084960938, 32.499427795410156, 37.62538528442383, 19.21308708190918, 49.999305725097656, 61.668922424316406, 78.23067474365234, 57.109989166259766, 34.845664978027344, 25.561595916748047, 38.43043899536133, 36.696075439453125, 13.474733352661133, 22.616025924682617, 19.521446228027344, 18.375274658203125, 14.437108039855957, 17.331071853637695, 17.74835777282715, 44.95818328857422, 19.563766479492188, 47.40772247314453, 11.606285095214844, 24.571035385131836, 3.1259052753448486, 6.710686683654785, 11.984856605529785, 49.79862976074219, 28.53854751586914, 2.5204427242279053, 1.2456892728805542, 1.1028908491134644, 4.508409023284912, 3.768671989440918, 1.68385648727417, 3.563121795654297, 4.629465103149414, 4.864799976348877, 1.0652081966400146, 1.140762209892273, 1.3054581880569458, 0.6451656818389893, 2.680420160293579, 0.40970078110694885, 0.5954631567001343, 2.1377320289611816, 0.2880758047103882, 0.04239358380436897, 0.8854914903640747, -0.19639329612255096, -0.4267664849758148, 31.130952835083008, 2.6439483165740967, -1.570970892906189, 4.30559778213501, 2.110367774963379]"
5,[39],"[1, 10, 14, 9, 49, 30, 16, 12, 19, 31, 13, 0, 3, 6, 24, 29, 2, 17, 11, 35, 27, 42, 32, 38, 7, 56, 26, 53, 15, 28, 18, 52, 8, 20, 22, 37, 58, 50, 21, 36, 45, 54, 23, 44, 40, 41, 4, 57, 51, 46, 34, 55, 43, 33, 5, 59, 25, 47, 48]","[array([95], dtype=int64), array([79], dtype=int64), array([9], dtype=int64), array([29], dtype=int64), array([15], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([81], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[82.73359680175781, 87.94200897216797, 88.45831298828125, 81.94913482666016, 82.74303436279297, 88.01886749267578, 60.66111755371094, 36.659446716308594, 36.555625915527344, 28.577911376953125, 41.01304244995117, 36.84407043457031, 39.384403228759766, 64.52127838134766, 21.25162696838379, 23.370079040527344, 41.46257781982422, 16.539100646972656, 36.961429595947266, 26.539085388183594, 12.816323280334473, 18.070804595947266, 33.36244201660156, 2.197171688079834, 5.160114288330078, 7.310064792633057, 5.18155574798584, 8.891969680786133, 51.80208969116211, 3.604267120361328, 2.967282772064209, 3.3542120456695557, 14.786083221435547, 1.772185206413269, 2.788658857345581, 4.193103790283203, 0.8423698544502258, 1.108608603477478, 1.6092380285263062, 1.8952759504318237, 2.007488489151001, 0.49997347593307495, 1.1212667226791382, 1.9469900131225586, 0.6136854290962219, -0.2916140556335449, 0.6963884234428406, 0.06397629529237747, 0.5371849536895752, 1.8370753526687622, 0.7085480690002441, 6.149787425994873, -0.039616622030735016, 0.16416077315807343, 31.130952835083008, 2.6439483165740967, -1.570970892906189, 4.30559778213501, 2.110367774963379]"
6,[50],"[1, 10, 3, 9, 49, 16, 14, 24, 6, 2, 32, 31, 29, 18, 30, 35, 17, 53, 43, 44, 11, 0, 13, 27, 12, 37, 7, 38, 51, 56, 26, 15, 52, 42, 46, 28, 40, 23, 8, 22, 54, 19, 4, 21, 55, 5, 39, 58, 34, 20, 57, 41, 33, 45, 36, 59, 25, 47, 48]","[array([95], dtype=int64), array([79], dtype=int64), array([5], dtype=int64), array([29], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([81], dtype=int64), array([5], dtype=int64), array([2], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[84.67293548583984, 88.24588775634766, 87.62191772460938, 86.28299713134766, 82.7605209350586, 81.59671020507812, 54.26303482055664, 63.13005447387695, 60.376102447509766, 60.40668869018555, 43.044647216796875, 23.001602172851562, 21.682241439819336, 38.31719970703125, 20.979528427124023, 23.4492130279541, 28.356914520263672, 14.435467720031738, 8.337214469909668, 13.538662910461426, 32.5550422668457, 11.91473388671875, 23.241365432739258, 12.465829849243164, 14.399747848510742, 5.1647868156433105, 21.487760543823242, 1.9471980333328247, 8.350236892700195, 9.908477783203125, 2.502812385559082, 10.812223434448242, 4.206715106964111, 3.087441921234131, 9.982986450195312, 2.8427512645721436, 1.4548660516738892, 3.151137113571167, 34.556331634521484, 3.579803943634033, 2.640050172805786, 2.0623223781585693, 4.689531326293945, 2.587340831756592, 0.7340461611747742, 43.45410919189453, 0.4257853329181671, 1.9574332237243652, 3.7349319458007812, 0.6124787926673889, 0.5315071940422058, -0.2288469672203064, -0.5724995732307434, 1.9497370719909668, 0.9353354573249817, 2.6439483165740967, -1.570970892906189, 4.30559778213501, 2.110367774963379]"
7,[20],"[1, 10, 3, 9, 49, 14, 16, 6, 2, 18, 53, 35, 42, 11, 7, 29, 30, 27, 17, 31, 13, 12, 46, 51, 0, 56, 32, 38, 19, 15, 22, 24, 52, 28, 26, 21, 37, 8, 54, 40, 39, 23, 44, 45, 36, 4, 41, 57, 43, 34, 33, 50, 58, 5, 55, 59, 25, 47, 48]","[array([95], dtype=int64), array([79], dtype=int64), array([5], dtype=int64), array([29], dtype=int64), array([15], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[82.77458190917969, 84.33846282958984, 88.98120880126953, 92.981201171875, 54.17043685913086, 72.71214294433594, 62.890987396240234, 50.838802337646484, 58.696678161621094, 37.98821258544922, 18.44594955444336, 19.30903434753418, 35.968379974365234, 29.572763442993164, 56.40403747558594, 19.01505470275879, 14.739131927490234, 13.875411987304688, 12.385342597961426, 12.248140335083008, 3.9898502826690674, 7.320976257324219, 26.770544052124023, 7.835589408874512, 12.874495506286621, 8.46644401550293, 61.14584732055664, 2.510249376296997, 4.365030765533447, 26.45541763305664, 4.015754222869873, 4.531317710876465, 2.020226001739502, 2.8189697265625, 7.874045372009277, 3.7747528553009033, 3.477623224258423, 9.160224914550781, 1.8062336444854736, 2.1498193740844727, 0.6312745213508606, 0.47812768816947937, 1.446288824081421, 0.2638186514377594, 1.0578486919403076, 0.7462473511695862, 0.10691459476947784, 0.9865885376930237, -0.07932274043560028, -0.15550492703914642, -0.07424525916576385, 2.168668508529663, 0.6450748443603516, 10.415346145629883, 5.043039798736572, 2.6439483165740967, -1.570970892906189, 4.30559778213501, 2.110367774963379]"
8,[14],"[42, 18, 3, 17, 35, 12, 9, 38, 10, 29, 49, 6, 31, 27, 0, 2, 54, 13, 11, 16, 37, 32, 1, 7, 53, 30, 26, 28, 56, 19, 46, 24, 15, 52, 22, 8, 58, 44, 20, 4, 34, 40, 39, 55, 21, 45, 57, 36, 43, 51, 23, 41, 33, 5, 50, 59, 25, 47, 48]","[array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([29], dtype=int64), array([5], dtype=int64), array([79], dtype=int64), array([3], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([81], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[47.25767517089844, 41.53694534301758, 73.99659729003906, 69.9977798461914, 19.411273956298828, 49.99927520751953, 42.10366439819336, 32.99089050292969, 32.38671875, 43.709049224853516, 39.445255279541016, 59.099029541015625, 31.8226375579834, 28.198877334594727, 32.478736877441406, 61.69572067260742, 20.195411682128906, 53.664337158203125, 72.78890228271484, 21.397037506103516, 17.562448501586914, 27.77082633972168, 13.863107681274414, 52.167686462402344, 7.420179843902588, 4.9279327392578125, 12.939981460571289, 2.760429859161377, 3.348173141479492, 6.050588607788086, 2.1806564331054688, 4.227199077606201, 18.7379150390625, 2.6784825325012207, 7.396391868591309, 9.055869102478027, 0.9957941770553589, 1.741536021232605, 0.6529439687728882, 10.407783508300781, 2.0459532737731934, 0.9716005325317383, 0.2318064421415329, 0.712223470211029, 0.5304496884346008, 0.6829708814620972, 0.24519231915473938, 1.1133838891983032, -0.11056260764598846, 0.572830319404602, 0.4426623582839966, 0.20478665828704834, -0.7579189538955688, 26.045495986938477, 0.3257818818092346, 2.6439483165740967, -1.570970892906189, 4.30559778213501, 2.110367774963379]"
9,[29],"[14, 22, 3, 17, 54, 9, 16, 30, 0, 10, 49, 6, 12, 13, 37, 2, 28, 53, 35, 38, 31, 27, 26, 11, 32, 1, 42, 7, 24, 15, 52, 46, 56, 18, 33, 23, 50, 8, 40, 21, 4, 58, 44, 19, 20, 36, 39, 34, 45, 51, 55, 57, 43, 41, 5, 59, 25, 47, 48]","[array([9], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([81], dtype=int64), array([79], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([15], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[83.19452667236328, 38.701988220214844, 73.99887084960938, 69.99799346923828, 17.073440551757812, 15.870383262634277, 29.23802947998047, 32.913360595703125, 25.942731857299805, 59.48236846923828, 66.15230560302734, 37.04776382446289, 56.48654556274414, 45.84596633911133, 23.741809844970703, 43.140411376953125, 12.201342582702637, 9.471683502197266, 19.13384437561035, 15.081521987915039, 11.990304946899414, 8.239575386047363, 7.434659481048584, 38.26752853393555, 25.869888305664062, 50.96354293823242, 8.123444557189941, 20.745447158813477, 2.519073724746704, 11.906672477722168, 2.8154819011688232, 2.7766737937927246, 5.023224353790283, 4.901722431182861, 1.4991605281829834, 4.873279094696045, 2.460801601409912, 12.751544952392578, 2.0783355236053467, 2.832280397415161, 6.812780857086182, 1.4696253538131714, 0.6841009259223938, 1.5317261219024658, 1.0300225019454956, 0.8244982361793518, 1.3189886808395386, 0.35595962405204773, 3.929952621459961, -0.10809306055307388, 0.28313612937927246, 0.8854914903640747, -0.19639329612255096, -0.4267664849758148, 31.130952835083008, 2.6439483165740967, -1.570970892906189, 4.30559778213501, 2.110367774963379]"
