random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[14, 9, 10, 29, 42, 18, 16, 49, 17, 6, 13, 0, 2, 12, 1, 11, 3, 31, 32, 7, 44, 15, 43, 24, 21, 19, 23, 30, 22, 50, 20, 37, 55, 35, 41, 38, 40, 51, 39, 28, 27, 53, 56, 33, 45, 34, 8, 26, 52, 46, 58, 4, 57, 36, 5, 59, 25, 47, 48]","[array([76], dtype=int64), array([44], dtype=int64), array([10], dtype=int64), array([16], dtype=int64), array([23], dtype=int64), array([8], dtype=int64), array([22], dtype=int64), array([24], dtype=int64), array([70], dtype=int64), array([30], dtype=int64), array([52], dtype=int64), array([65], dtype=int64), array([49], dtype=int64), array([50], dtype=int64), array([82], dtype=int64), array([28], dtype=int64), array([74], dtype=int64), array([7], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([37], dtype=int64), array([28], dtype=int64), array([15], dtype=int64), array([44], dtype=int64), array([31], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([14], dtype=int64), array([36], dtype=int64), array([8], dtype=int64), array([48], dtype=int64), array([35], dtype=int64), array([2], dtype=int64), array([47], dtype=int64), array([40], dtype=int64), array([30], dtype=int64), array([37], dtype=int64), array([28], dtype=int64), array([22], dtype=int64), array([25], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([9], dtype=int64), array([17], dtype=int64), array([11], dtype=int64), array([60], dtype=int64), array([24], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[85.3887939453125, 77.79611206054688, 79.54582214355469, 75.2911376953125, 47.520751953125, 42.497894287109375, 45.37163162231445, 33.86662292480469, 28.18142318725586, 56.08721160888672, 37.76655960083008, 35.59880065917969, 47.908348083496094, 37.35476303100586, 71.46366119384766, 43.24142837524414, 31.183340072631836, 41.71864700317383, 63.26579284667969, 26.147258758544922, 22.632200241088867, 41.528865814208984, 20.53008270263672, 20.15386390686035, 32.75979995727539, 31.010957717895508, 23.770994186401367, 18.411968231201172, 21.056547164916992, 21.365781784057617, 17.278553009033203, 20.77858543395996, 19.301633834838867, 21.854429244995117, 24.345409393310547, 29.959909439086914, 25.983600616455078, 25.989097595214844, 24.718345642089844, 18.131864547729492, 21.694673538208008, 19.12958526611328, 20.353635787963867, 16.604801177978516, 12.4304780960083, 12.62424087524414, 35.36132049560547, 14.516630172729492, 12.648606300354004, 8.261796951293945, 5.308943748474121, 34.89558410644531, 20.923994064331055, 10.312050819396973, 46.62222671508789, 1.5184969902038574, 22.23924446105957, 4.91300630569458, 8.015533447265625]"
1,[8],"[14, 9, 29, 11, 10, 24, 54, 42, 49, 18, 51, 16, 12, 3, 13, 0, 1, 31, 6, 19, 2, 7, 30, 44, 17, 37, 43, 21, 20, 23, 32, 22, 50, 27, 40, 35, 39, 41, 38, 56, 55, 45, 33, 53, 28, 26, 34, 52, 15, 46, 58, 4, 57, 36, 5, 59, 25, 47, 48]","[array([76], dtype=int64), array([44], dtype=int64), array([16], dtype=int64), array([28], dtype=int64), array([10], dtype=int64), array([44], dtype=int64), array([43], dtype=int64), array([23], dtype=int64), array([24], dtype=int64), array([8], dtype=int64), array([28], dtype=int64), array([22], dtype=int64), array([50], dtype=int64), array([74], dtype=int64), array([52], dtype=int64), array([65], dtype=int64), array([82], dtype=int64), array([7], dtype=int64), array([30], dtype=int64), array([14], dtype=int64), array([49], dtype=int64), array([18], dtype=int64), array([14], dtype=int64), array([37], dtype=int64), array([70], dtype=int64), array([35], dtype=int64), array([15], dtype=int64), array([31], dtype=int64), array([48], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([36], dtype=int64), array([8], dtype=int64), array([16], dtype=int64), array([37], dtype=int64), array([47], dtype=int64), array([22], dtype=int64), array([40], dtype=int64), array([30], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([17], dtype=int64), array([9], dtype=int64), array([18], dtype=int64), array([25], dtype=int64), array([24], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([28], dtype=int64), array([5], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[82.42192840576172, 75.37874603271484, 69.49995422363281, 67.1603012084961, 67.8805160522461, 49.691505432128906, 55.29960250854492, 53.414649963378906, 52.85331726074219, 37.92897415161133, 41.26618194580078, 42.9459342956543, 43.17668151855469, 54.96392059326172, 56.38239669799805, 52.107444763183594, 60.48775100708008, 44.62982177734375, 55.30153274536133, 39.6606559753418, 50.29680633544922, 28.42912483215332, 23.829578399658203, 28.37152671813965, 27.31224822998047, 26.733993530273438, 29.05681610107422, 22.442710876464844, 24.035903930664062, 33.80638885498047, 66.521728515625, 27.20274543762207, 23.03898048400879, 21.971256256103516, 25.127910614013672, 25.830873489379883, 33.43347930908203, 34.275028228759766, 27.421838760375977, 25.056291580200195, 18.319337844848633, 17.017854690551758, 19.88926887512207, 16.74119758605957, 14.693224906921387, 9.329205513000488, 13.41781997680664, 9.540986061096191, 29.76193618774414, 8.261796951293945, 5.308943748474121, 34.89558410644531, 20.923994064331055, 10.312050819396973, 46.62222671508789, 1.5184969902038574, 22.23924446105957, 4.91300630569458, 8.015533447265625]"
2,[55],"[1, 10, 9, 14, 42, 49, 16, 18, 0, 12, 2, 13, 6, 3, 32, 7, 50, 15, 17, 31, 44, 19, 11, 43, 24, 21, 23, 54, 22, 30, 37, 20, 38, 35, 41, 40, 51, 39, 27, 33, 28, 29, 56, 53, 45, 34, 8, 26, 52, 46, 58, 4, 57, 36, 5, 59, 25, 47, 48]","[array([82], dtype=int64), array([10], dtype=int64), array([44], dtype=int64), array([76], dtype=int64), array([23], dtype=int64), array([24], dtype=int64), array([22], dtype=int64), array([8], dtype=int64), array([65], dtype=int64), array([50], dtype=int64), array([49], dtype=int64), array([52], dtype=int64), array([30], dtype=int64), array([74], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([8], dtype=int64), array([28], dtype=int64), array([70], dtype=int64), array([7], dtype=int64), array([37], dtype=int64), array([14], dtype=int64), array([28], dtype=int64), array([15], dtype=int64), array([44], dtype=int64), array([31], dtype=int64), array([18], dtype=int64), array([43], dtype=int64), array([36], dtype=int64), array([14], dtype=int64), array([35], dtype=int64), array([48], dtype=int64), array([30], dtype=int64), array([47], dtype=int64), array([40], dtype=int64), array([37], dtype=int64), array([28], dtype=int64), array([22], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([25], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([11], dtype=int64), array([60], dtype=int64), array([24], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[85.7921142578125, 80.05712890625, 27.11414337158203, 74.77607727050781, 54.68179702758789, 71.40907287597656, 43.03120803833008, 39.871734619140625, 30.448665618896484, 50.86344909667969, 52.771854400634766, 59.22924041748047, 58.986331939697266, 44.52939987182617, 54.86907958984375, 49.33539581298828, 27.147960662841797, 38.940460205078125, 34.14620590209961, 27.897916793823242, 25.739418029785156, 27.643909454345703, 29.115694046020508, 23.292097091674805, 17.56362533569336, 28.01084327697754, 22.19615936279297, 18.433467864990234, 21.626663208007812, 17.95016098022461, 20.152162551879883, 17.145801544189453, 19.53155517578125, 23.88687515258789, 26.184383392333984, 27.755895614624023, 27.537559509277344, 27.658994674682617, 15.238364219665527, 16.57404327392578, 15.500767707824707, 15.784172058105469, 17.213939666748047, 20.358028411865234, 12.4304780960083, 12.62424087524414, 35.36132049560547, 14.516630172729492, 12.648606300354004, 8.261796951293945, 5.308943748474121, 34.89558410644531, 20.923994064331055, 10.312050819396973, 46.62222671508789, 1.5184969902038574, 22.23924446105957, 4.91300630569458, 8.015533447265625]"
3,[15],"[14, 10, 9, 40, 21, 29, 16, 37, 49, 42, 3, 31, 54, 0, 13, 6, 24, 12, 11, 32, 30, 18, 19, 1, 43, 55, 2, 23, 41, 7, 17, 44, 50, 35, 51, 39, 22, 38, 56, 20, 53, 28, 27, 33, 45, 34, 8, 26, 52, 46, 58, 4, 57, 36, 5, 59, 25, 47, 48]","[array([76], dtype=int64), array([10], dtype=int64), array([44], dtype=int64), array([37], dtype=int64), array([31], dtype=int64), array([16], dtype=int64), array([22], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([23], dtype=int64), array([74], dtype=int64), array([7], dtype=int64), array([43], dtype=int64), array([65], dtype=int64), array([52], dtype=int64), array([30], dtype=int64), array([44], dtype=int64), array([50], dtype=int64), array([28], dtype=int64), array([18], dtype=int64), array([14], dtype=int64), array([8], dtype=int64), array([14], dtype=int64), array([82], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([49], dtype=int64), array([18], dtype=int64), array([40], dtype=int64), array([18], dtype=int64), array([70], dtype=int64), array([37], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([28], dtype=int64), array([22], dtype=int64), array([36], dtype=int64), array([30], dtype=int64), array([1], dtype=int64), array([48], dtype=int64), array([18], dtype=int64), array([25], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([17], dtype=int64), array([11], dtype=int64), array([60], dtype=int64), array([24], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[84.96833038330078, 77.56758880615234, 64.25055694580078, 69.11984252929688, 50.716636657714844, 64.68374633789062, 55.2173957824707, 41.910343170166016, 40.43608093261719, 35.7095832824707, 45.2958869934082, 61.70833969116211, 57.679508209228516, 37.32906723022461, 61.01016616821289, 51.35200881958008, 39.60538101196289, 57.03896713256836, 42.15177536010742, 41.14592361450195, 41.48955154418945, 36.53437805175781, 38.46369552612305, 46.358917236328125, 28.29759979248047, 34.60683822631836, 37.661949157714844, 28.72628402709961, 26.89944076538086, 30.33562469482422, 26.755332946777344, 34.04649353027344, 30.822616577148438, 25.832334518432617, 24.22110366821289, 24.893211364746094, 26.7557315826416, 22.67875099182129, 19.078704833984375, 22.27315330505371, 18.25113868713379, 15.74724006652832, 19.369918823242188, 16.604801177978516, 12.4304780960083, 12.62424087524414, 35.36132049560547, 14.516630172729492, 12.648606300354004, 8.261796951293945, 5.308943748474121, 34.89558410644531, 20.923994064331055, 10.312050819396973, 46.62222671508789, 1.5184969902038574, 22.23924446105957, 4.91300630569458, 8.015533447265625]"
4,[15],"[14, 10, 9, 40, 21, 29, 16, 37, 49, 42, 3, 31, 54, 0, 13, 6, 24, 12, 11, 32, 30, 18, 19, 1, 43, 55, 2, 23, 41, 7, 17, 44, 50, 35, 51, 39, 22, 38, 56, 20, 53, 28, 27, 33, 45, 34, 8, 26, 52, 46, 58, 4, 57, 36, 5, 59, 25, 47, 48]","[array([76], dtype=int64), array([10], dtype=int64), array([44], dtype=int64), array([37], dtype=int64), array([31], dtype=int64), array([16], dtype=int64), array([22], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([23], dtype=int64), array([74], dtype=int64), array([7], dtype=int64), array([43], dtype=int64), array([65], dtype=int64), array([52], dtype=int64), array([30], dtype=int64), array([44], dtype=int64), array([50], dtype=int64), array([28], dtype=int64), array([18], dtype=int64), array([14], dtype=int64), array([8], dtype=int64), array([14], dtype=int64), array([82], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([49], dtype=int64), array([18], dtype=int64), array([40], dtype=int64), array([18], dtype=int64), array([70], dtype=int64), array([37], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([28], dtype=int64), array([22], dtype=int64), array([36], dtype=int64), array([30], dtype=int64), array([1], dtype=int64), array([48], dtype=int64), array([18], dtype=int64), array([25], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([17], dtype=int64), array([11], dtype=int64), array([60], dtype=int64), array([24], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[84.96833038330078, 77.56758880615234, 64.25055694580078, 69.11984252929688, 50.716636657714844, 64.68374633789062, 55.2173957824707, 41.910343170166016, 40.43608093261719, 35.7095832824707, 45.2958869934082, 61.70833969116211, 57.679508209228516, 37.32906723022461, 61.01016616821289, 51.35200881958008, 39.60538101196289, 57.03896713256836, 42.15177536010742, 41.14592361450195, 41.48955154418945, 36.53437805175781, 38.46369552612305, 46.358917236328125, 28.29759979248047, 34.60683822631836, 37.661949157714844, 28.72628402709961, 26.89944076538086, 30.33562469482422, 26.755332946777344, 34.04649353027344, 30.822616577148438, 25.832334518432617, 24.22110366821289, 24.893211364746094, 26.7557315826416, 22.67875099182129, 19.078704833984375, 22.27315330505371, 18.25113868713379, 15.74724006652832, 19.369918823242188, 16.604801177978516, 12.4304780960083, 12.62424087524414, 35.36132049560547, 14.516630172729492, 12.648606300354004, 8.261796951293945, 5.308943748474121, 34.89558410644531, 20.923994064331055, 10.312050819396973, 46.62222671508789, 1.5184969902038574, 22.23924446105957, 4.91300630569458, 8.015533447265625]"
5,[39],"[1, 9, 24, 14, 2, 16, 10, 42, 18, 6, 0, 19, 49, 12, 32, 3, 13, 7, 11, 23, 44, 50, 17, 15, 21, 43, 31, 51, 37, 30, 40, 35, 22, 41, 38, 20, 53, 29, 56, 28, 27, 54, 55, 33, 45, 34, 8, 26, 52, 46, 58, 4, 57, 36, 5, 59, 25, 47, 48]","[array([82], dtype=int64), array([44], dtype=int64), array([44], dtype=int64), array([76], dtype=int64), array([49], dtype=int64), array([22], dtype=int64), array([10], dtype=int64), array([23], dtype=int64), array([8], dtype=int64), array([30], dtype=int64), array([65], dtype=int64), array([14], dtype=int64), array([24], dtype=int64), array([50], dtype=int64), array([18], dtype=int64), array([74], dtype=int64), array([52], dtype=int64), array([18], dtype=int64), array([28], dtype=int64), array([18], dtype=int64), array([37], dtype=int64), array([8], dtype=int64), array([70], dtype=int64), array([28], dtype=int64), array([31], dtype=int64), array([15], dtype=int64), array([7], dtype=int64), array([28], dtype=int64), array([35], dtype=int64), array([14], dtype=int64), array([37], dtype=int64), array([47], dtype=int64), array([36], dtype=int64), array([40], dtype=int64), array([30], dtype=int64), array([48], dtype=int64), array([18], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([25], dtype=int64), array([16], dtype=int64), array([43], dtype=int64), array([2], dtype=int64), array([9], dtype=int64), array([17], dtype=int64), array([11], dtype=int64), array([60], dtype=int64), array([24], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[82.96326446533203, 81.05725860595703, 71.9415283203125, 74.49786376953125, 71.14994812011719, 56.013893127441406, 65.05500030517578, 48.93390655517578, 45.725685119628906, 62.235103607177734, 45.01565933227539, 39.061702728271484, 49.49443054199219, 38.315399169921875, 53.9545783996582, 50.03400421142578, 58.2874641418457, 51.990352630615234, 32.69028091430664, 27.988004684448242, 29.651918411254883, 29.631420135498047, 28.294414520263672, 35.46780776977539, 30.899091720581055, 27.589208602905273, 27.05785369873047, 22.481800079345703, 25.991039276123047, 24.876211166381836, 23.279953002929688, 23.18947410583496, 23.490800857543945, 26.49734878540039, 24.081127166748047, 22.122041702270508, 17.364459991455078, 21.65223503112793, 16.908498764038086, 17.273277282714844, 18.728469848632812, 14.75165843963623, 19.15268898010254, 16.604801177978516, 12.4304780960083, 12.62424087524414, 35.36132049560547, 14.516630172729492, 12.648606300354004, 8.261796951293945, 5.308943748474121, 34.89558410644531, 20.923994064331055, 10.312050819396973, 46.62222671508789, 1.5184969902038574, 22.23924446105957, 4.91300630569458, 8.015533447265625]"
6,[50],"[1, 10, 9, 42, 49, 44, 18, 14, 6, 3, 16, 13, 0, 12, 17, 31, 2, 32, 7, 11, 15, 54, 24, 21, 19, 43, 23, 22, 29, 20, 30, 37, 55, 35, 41, 38, 40, 51, 39, 28, 27, 53, 56, 33, 45, 34, 8, 26, 52, 46, 58, 4, 57, 36, 5, 59, 25, 47, 48]","[array([82], dtype=int64), array([10], dtype=int64), array([44], dtype=int64), array([23], dtype=int64), array([24], dtype=int64), array([37], dtype=int64), array([8], dtype=int64), array([76], dtype=int64), array([30], dtype=int64), array([74], dtype=int64), array([22], dtype=int64), array([52], dtype=int64), array([65], dtype=int64), array([50], dtype=int64), array([70], dtype=int64), array([7], dtype=int64), array([49], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([28], dtype=int64), array([28], dtype=int64), array([43], dtype=int64), array([44], dtype=int64), array([31], dtype=int64), array([14], dtype=int64), array([15], dtype=int64), array([18], dtype=int64), array([36], dtype=int64), array([16], dtype=int64), array([48], dtype=int64), array([14], dtype=int64), array([35], dtype=int64), array([2], dtype=int64), array([47], dtype=int64), array([40], dtype=int64), array([30], dtype=int64), array([37], dtype=int64), array([28], dtype=int64), array([22], dtype=int64), array([25], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([9], dtype=int64), array([17], dtype=int64), array([11], dtype=int64), array([60], dtype=int64), array([24], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[84.42057037353516, 80.89445495605469, 35.96799850463867, 47.139183044433594, 39.660308837890625, 22.603435516357422, 30.865680694580078, 40.85270690917969, 60.90117645263672, 36.37184524536133, 52.20195770263672, 67.19194793701172, 34.3365478515625, 61.97323226928711, 50.72263717651367, 48.441287994384766, 58.313934326171875, 61.46697998046875, 41.01636505126953, 32.2055778503418, 29.844566345214844, 22.738059997558594, 22.880516052246094, 30.267332077026367, 33.060279846191406, 27.019123077392578, 19.27004051208496, 19.227466583251953, 26.67202377319336, 19.26933479309082, 20.805217742919922, 20.77858543395996, 19.301633834838867, 21.854429244995117, 24.345409393310547, 29.959909439086914, 25.983600616455078, 25.989097595214844, 24.718345642089844, 18.131864547729492, 21.694673538208008, 19.12958526611328, 20.353635787963867, 16.604801177978516, 12.4304780960083, 12.62424087524414, 35.36132049560547, 14.516630172729492, 12.648606300354004, 8.261796951293945, 5.308943748474121, 34.89558410644531, 20.923994064331055, 10.312050819396973, 46.62222671508789, 1.5184969902038574, 22.23924446105957, 4.91300630569458, 8.015533447265625]"
7,[20],"[1, 14, 49, 9, 10, 51, 18, 24, 21, 3, 42, 0, 16, 12, 13, 6, 31, 32, 11, 19, 23, 7, 43, 30, 44, 2, 17, 15, 22, 37, 35, 40, 50, 39, 41, 38, 53, 29, 56, 28, 27, 54, 55, 33, 45, 34, 8, 26, 52, 46, 58, 4, 57, 36, 5, 59, 25, 47, 48]","[array([82], dtype=int64), array([76], dtype=int64), array([24], dtype=int64), array([44], dtype=int64), array([10], dtype=int64), array([28], dtype=int64), array([8], dtype=int64), array([44], dtype=int64), array([31], dtype=int64), array([74], dtype=int64), array([23], dtype=int64), array([65], dtype=int64), array([22], dtype=int64), array([50], dtype=int64), array([52], dtype=int64), array([30], dtype=int64), array([7], dtype=int64), array([18], dtype=int64), array([28], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([15], dtype=int64), array([14], dtype=int64), array([37], dtype=int64), array([49], dtype=int64), array([70], dtype=int64), array([28], dtype=int64), array([36], dtype=int64), array([35], dtype=int64), array([47], dtype=int64), array([37], dtype=int64), array([8], dtype=int64), array([22], dtype=int64), array([40], dtype=int64), array([30], dtype=int64), array([18], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([25], dtype=int64), array([16], dtype=int64), array([43], dtype=int64), array([2], dtype=int64), array([9], dtype=int64), array([17], dtype=int64), array([11], dtype=int64), array([60], dtype=int64), array([24], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[84.48851776123047, 83.06792449951172, 79.0777816772461, 74.72063446044922, 80.9090805053711, 72.62629699707031, 53.85121154785156, 47.64985275268555, 41.396175384521484, 46.29510498046875, 57.07798385620117, 48.92677307128906, 48.719139099121094, 61.28184509277344, 66.39033508300781, 57.01451110839844, 46.58204650878906, 63.9195442199707, 53.77103805541992, 40.18290710449219, 35.189369201660156, 30.702051162719727, 30.387256622314453, 30.64954948425293, 33.88514709472656, 38.629661560058594, 27.439794540405273, 32.47262954711914, 21.178810119628906, 20.02870750427246, 20.926111221313477, 26.644920349121094, 24.61176872253418, 25.591825485229492, 23.734455108642578, 23.78371810913086, 17.364459991455078, 21.65223503112793, 16.908498764038086, 17.273277282714844, 18.728469848632812, 14.75165843963623, 19.15268898010254, 16.604801177978516, 12.4304780960083, 12.62424087524414, 35.36132049560547, 14.516630172729492, 12.648606300354004, 8.261796951293945, 5.308943748474121, 34.89558410644531, 20.923994064331055, 10.312050819396973, 46.62222671508789, 1.5184969902038574, 22.23924446105957, 4.91300630569458, 8.015533447265625]"
8,[14],"[1, 10, 2, 9, 51, 42, 6, 49, 18, 16, 12, 13, 3, 0, 32, 7, 17, 22, 11, 44, 50, 15, 21, 24, 19, 43, 31, 37, 54, 30, 20, 23, 40, 35, 53, 41, 28, 33, 38, 56, 27, 39, 55, 29, 45, 34, 8, 26, 52, 46, 58, 4, 57, 36, 5, 59, 25, 47, 48]","[array([82], dtype=int64), array([10], dtype=int64), array([49], dtype=int64), array([44], dtype=int64), array([28], dtype=int64), array([23], dtype=int64), array([30], dtype=int64), array([24], dtype=int64), array([8], dtype=int64), array([22], dtype=int64), array([50], dtype=int64), array([52], dtype=int64), array([74], dtype=int64), array([65], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([70], dtype=int64), array([36], dtype=int64), array([28], dtype=int64), array([37], dtype=int64), array([8], dtype=int64), array([28], dtype=int64), array([31], dtype=int64), array([44], dtype=int64), array([14], dtype=int64), array([15], dtype=int64), array([7], dtype=int64), array([35], dtype=int64), array([43], dtype=int64), array([14], dtype=int64), array([48], dtype=int64), array([18], dtype=int64), array([37], dtype=int64), array([47], dtype=int64), array([18], dtype=int64), array([40], dtype=int64), array([25], dtype=int64), array([9], dtype=int64), array([30], dtype=int64), array([1], dtype=int64), array([16], dtype=int64), array([22], dtype=int64), array([2], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([11], dtype=int64), array([60], dtype=int64), array([24], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[79.39031982421875, 78.79313659667969, 68.90609741210938, 55.32306671142578, 48.61976623535156, 58.297264099121094, 64.69751739501953, 48.11183547973633, 44.09263229370117, 43.59819793701172, 25.355077743530273, 43.87160873413086, 31.87980842590332, 47.882564544677734, 52.80970764160156, 56.1153450012207, 32.47321319580078, 38.05582046508789, 38.93931579589844, 32.419376373291016, 31.150333404541016, 27.95286750793457, 28.754390716552734, 27.83244514465332, 33.362060546875, 28.51521110534668, 36.93151092529297, 25.50591278076172, 20.154193878173828, 27.48379898071289, 23.03173828125, 31.430662155151367, 18.724105834960938, 25.618385314941406, 30.02520179748535, 33.87789535522461, 34.05427551269531, 29.644126892089844, 25.329608917236328, 25.7222900390625, 20.826454162597656, 20.614837646484375, 17.48687744140625, 16.267553329467773, 12.4304780960083, 12.62424087524414, 35.36132049560547, 14.516630172729492, 12.648606300354004, 8.261796951293945, 5.308943748474121, 34.89558410644531, 20.923994064331055, 10.312050819396973, 46.62222671508789, 1.5184969902038574, 22.23924446105957, 4.91300630569458, 8.015533447265625]"
9,[29],"[14, 10, 54, 9, 42, 18, 16, 49, 17, 6, 13, 0, 2, 12, 32, 3, 30, 7, 1, 31, 11, 44, 55, 15, 24, 19, 43, 21, 37, 23, 50, 28, 22, 53, 27, 51, 20, 35, 40, 41, 38, 39, 56, 33, 45, 34, 8, 26, 52, 46, 58, 4, 57, 36, 5, 59, 25, 47, 48]","[array([76], dtype=int64), array([10], dtype=int64), array([43], dtype=int64), array([44], dtype=int64), array([23], dtype=int64), array([8], dtype=int64), array([22], dtype=int64), array([24], dtype=int64), array([70], dtype=int64), array([30], dtype=int64), array([52], dtype=int64), array([65], dtype=int64), array([49], dtype=int64), array([50], dtype=int64), array([18], dtype=int64), array([74], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([82], dtype=int64), array([7], dtype=int64), array([28], dtype=int64), array([37], dtype=int64), array([2], dtype=int64), array([28], dtype=int64), array([44], dtype=int64), array([14], dtype=int64), array([15], dtype=int64), array([31], dtype=int64), array([35], dtype=int64), array([18], dtype=int64), array([8], dtype=int64), array([25], dtype=int64), array([36], dtype=int64), array([18], dtype=int64), array([16], dtype=int64), array([28], dtype=int64), array([48], dtype=int64), array([47], dtype=int64), array([37], dtype=int64), array([40], dtype=int64), array([30], dtype=int64), array([22], dtype=int64), array([1], dtype=int64), array([9], dtype=int64), array([17], dtype=int64), array([11], dtype=int64), array([60], dtype=int64), array([24], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[83.98273468017578, 75.95309448242188, 61.89272689819336, 57.97291946411133, 47.520751953125, 42.497894287109375, 45.37163162231445, 33.86662292480469, 28.18142318725586, 56.08721160888672, 37.76655960083008, 35.59880065917969, 47.908348083496094, 37.35476303100586, 57.68803024291992, 55.713802337646484, 54.912601470947266, 60.185089111328125, 69.01173400878906, 31.04242706298828, 35.77051544189453, 23.23151969909668, 27.713773727416992, 28.020463943481445, 22.538890838623047, 30.97866439819336, 27.45214080810547, 31.685808181762695, 22.008119583129883, 22.24169158935547, 20.133647918701172, 16.9773006439209, 20.336551666259766, 20.497146606445312, 18.993505477905273, 18.847026824951172, 17.526269912719727, 20.949005126953125, 18.274076461791992, 29.695505142211914, 26.87062644958496, 31.37547492980957, 20.353635787963867, 16.604801177978516, 12.4304780960083, 12.62424087524414, 35.36132049560547, 14.516630172729492, 12.648606300354004, 8.261796951293945, 5.308943748474121, 34.89558410644531, 20.923994064331055, 10.312050819396973, 46.62222671508789, 1.5184969902038574, 22.23924446105957, 4.91300630569458, 8.015533447265625]"
