random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[0, 17, 2, 39, 40, 9, 57, 47, 42, 43, 33, 48, 56, 41, 50, 23, 34, 35, 45, 44, 55, 30, 8, 37, 27, 28, 20, 16, 26, 4, 3, 46, 52, 36, 51, 24, 29, 38, 53, 31, 19, 1, 21, 22, 18, 49, 58, 25, 15, 12, 14, 59, 6, 7, 10, 13, 11, 5, 32]","[20.0, 14.0, 0.0, 62.0, 50.0, 48.0, 2.0, 51.0, 58.0, 26.0, 38.0, 74.0, 24.0, 54.0, 0.0, 42.0, 54.0, 83.0, 29.0, 32.0, 0.0, 53.0, 68.0, 63.0, 37.0, 30.0, 53.0, 7.0, 63.0, 0.0, 51.0, 0.0, 28.0, 39.0, 34.0, 35.0, 71.0, 77.0, 71.0, 0.0, 41.0, 0.0, 41.0, 32.0, 39.0, 6.0, 1.0, 8.0, 0.0, 20.0, 13.0, 2.0, 55.0, 48.0, 37.0, 0.0, 35.0, 0.0, 0.0]","[60.0, 59.9990119934082, 59.99893569946289, 59.99894332885742, 61.9989128112793, 58.620628356933594, 61.99787521362305, 59.95951843261719, 58.592891693115234, 58.01000213623047, 56.34574890136719, 51.53704071044922, 57.73402404785156, 57.167354583740234, 53.79412841796875, 48.013946533203125, 45.80014419555664, 43.055076599121094, 41.14754867553711, 31.546611785888672, 27.75810432434082, 25.48241424560547, 73.60006713867188, 61.75119400024414, 58.76236343383789, 43.72863006591797, 46.87777328491211, 25.65052604675293, 15.523332595825195, 70.41060638427734, 43.17364501953125, 37.51644515991211, 41.190765380859375, 29.193483352661133, 50.56786346435547, 45.72394561767578, 21.397457122802734, 56.4570426940918, 40.16585159301758, 43.13997268676758, 14.936243057250977, 15.604516983032227, 14.977991104125977, 40.72843933105469, 37.956260681152344, 17.84514617919922, 8.888084411621094, 6.773751735687256, 4.720726013183594, 1.841134786605835, 3.002392530441284, 5.423637866973877, 7.324567794799805, 43.81647491455078, 7.8097968101501465, 7.213038921356201, 2.06382417678833, 1.381695032119751, 1.5581965446472168]"
1,[8],"[0, 1, 2, 7, 50, 47, 48, 4, 54, 42, 45, 44, 27, 57, 34, 39, 40, 33, 56, 41, 35, 23, 37, 28, 43, 11, 59, 16, 15, 26, 20, 19, 30, 25, 51, 24, 52, 46, 36, 53, 6, 29, 38, 22, 21, 17, 18, 14, 3, 31, 9, 55, 10, 49, 12, 13, 5, 58, 32]","[20.0, 0.0, 0.0, 48.0, 0.0, 51.0, 74.0, 0.0, 60.0, 58.0, 29.0, 32.0, 37.0, 2.0, 54.0, 62.0, 50.0, 38.0, 24.0, 54.0, 83.0, 42.0, 63.0, 30.0, 26.0, 35.0, 2.0, 7.0, 0.0, 63.0, 53.0, 41.0, 53.0, 8.0, 34.0, 35.0, 28.0, 0.0, 39.0, 71.0, 55.0, 71.0, 77.0, 32.0, 41.0, 14.0, 39.0, 13.0, 51.0, 0.0, 48.0, 0.0, 37.0, 6.0, 20.0, 0.0, 0.0, 1.0, 0.0]","[68.0, 67.9991455078125, 67.99906158447266, 67.99900817871094, 67.99899291992188, 67.99890899658203, 62.97786331176758, 50.656490325927734, 67.98833465576172, 59.99809265136719, 63.5943489074707, 57.91423797607422, 54.12541198730469, 45.5562744140625, 45.64376449584961, 47.51297378540039, 61.98743438720703, 54.04872512817383, 55.63922119140625, 57.23231887817383, 53.047298431396484, 59.10230255126953, 41.8884162902832, 61.68568801879883, 39.88491439819336, 23.83600616455078, 24.991588592529297, 32.15424728393555, 33.15485382080078, 18.674579620361328, 58.09941864013672, 49.46019744873047, 55.30421829223633, 53.35750198364258, 47.19980239868164, 45.316978454589844, 52.023433685302734, 41.876502990722656, 27.122528076171875, 31.56458854675293, 20.4584903717041, 34.1480827331543, 65.51952362060547, 31.195030212402344, 32.3997917175293, 35.636226654052734, 28.92738151550293, 20.992746353149414, 13.708651542663574, 15.778807640075684, 31.57596206665039, 42.18101119995117, 16.322586059570312, 7.507613658905029, 5.88344669342041, 6.0488600730896, 2.9545795917510986, 4.6387939453125, 1.5581965446472168]"
2,[55],"[0, 1, 2, 3, 46, 48, 27, 28, 30, 25, 47, 23, 35, 37, 56, 34, 41, 8, 40, 33, 45, 42, 43, 39, 29, 20, 44, 38, 36, 52, 54, 4, 51, 26, 53, 24, 31, 18, 50, 22, 49, 19, 21, 17, 57, 58, 9, 16, 15, 12, 14, 59, 6, 7, 10, 13, 11, 5, 32]","[20.0, 0.0, 0.0, 51.0, 0.0, 74.0, 37.0, 30.0, 53.0, 8.0, 51.0, 42.0, 83.0, 63.0, 24.0, 54.0, 54.0, 68.0, 50.0, 38.0, 29.0, 58.0, 26.0, 62.0, 71.0, 53.0, 32.0, 77.0, 39.0, 28.0, 60.0, 0.0, 34.0, 63.0, 71.0, 35.0, 0.0, 39.0, 0.0, 32.0, 6.0, 41.0, 41.0, 14.0, 2.0, 1.0, 48.0, 7.0, 0.0, 20.0, 13.0, 2.0, 55.0, 48.0, 37.0, 0.0, 35.0, 0.0, 0.0]","[0.0, 19.999053955078125, 19.999000549316406, 19.998939514160156, 41.062049865722656, 47.81406021118164, 49.36940383911133, 37.000301361083984, 36.9996452331543, 13.583361625671387, 26.696420669555664, 42.29045104980469, 41.99983596801758, 54.64231491088867, 60.82265090942383, 52.48115158081055, 45.507572174072266, 63.26641082763672, 52.835514068603516, 55.60249710083008, 61.753292083740234, 45.502838134765625, 57.34431838989258, 42.869712829589844, 39.78547668457031, 52.71321487426758, 47.39406204223633, 57.774017333984375, 61.84011459350586, 53.5069465637207, 55.58333206176758, 55.32986068725586, 55.02524948120117, 47.60304641723633, 40.53375244140625, 36.767669677734375, 31.85902976989746, 15.670032501220703, 41.475547790527344, 38.93150329589844, 38.790714263916016, 38.414730072021484, 37.508056640625, 9.488818168640137, 9.082369804382324, 3.2484142780303955, 3.018611431121826, 21.773473739624023, 4.720726013183594, 1.841134786605835, 3.002392530441284, 5.423637866973877, 7.324567794799805, 43.81647491455078, 7.8097968101501465, 7.213038921356201, 2.06382417678833, 1.381695032119751, 1.5581965446472168]"
3,[15],"[0, 6, 9, 16, 7, 59, 52, 33, 38, 54, 42, 43, 44, 55, 29, 26, 30, 27, 14, 18, 39, 28, 51, 20, 24, 1, 46, 37, 56, 41, 35, 22, 23, 40, 19, 21, 48, 8, 34, 45, 25, 53, 36, 47, 17, 50, 4, 57, 10, 49, 11, 5, 32, 31, 3, 12, 58, 2, 13]","[20.0, 55.0, 48.0, 7.0, 48.0, 2.0, 28.0, 38.0, 77.0, 60.0, 58.0, 26.0, 32.0, 0.0, 71.0, 63.0, 53.0, 37.0, 13.0, 39.0, 62.0, 30.0, 34.0, 53.0, 35.0, 0.0, 0.0, 63.0, 24.0, 54.0, 83.0, 32.0, 42.0, 50.0, 41.0, 41.0, 74.0, 68.0, 54.0, 29.0, 8.0, 71.0, 39.0, 51.0, 14.0, 0.0, 0.0, 2.0, 37.0, 6.0, 35.0, 0.0, 0.0, 0.0, 51.0, 20.0, 1.0, 0.0, 0.0]","[0.0, 19.999053955078125, 54.99898147583008, 54.998199462890625, 54.99655532836914, 54.99611282348633, 48.69255065917969, 48.1909294128418, 48.050025939941406, 70.5186996459961, 52.26459503173828, 60.58624267578125, 53.062965393066406, 49.84513473510742, 76.9984130859375, 67.81951904296875, 63.000083923339844, 61.631385803222656, 55.66790008544922, 57.91553497314453, 57.832275390625, 57.28429412841797, 51.75926208496094, 51.849365234375, 52.23614501953125, 48.503562927246094, 64.27279663085938, 65.00729370117188, 57.10663604736328, 42.21295166015625, 48.67676544189453, 49.40530776977539, 61.45439147949219, 52.58797073364258, 49.54730224609375, 36.962318420410156, 34.88917922973633, 62.4505615234375, 71.93479919433594, 65.18710327148438, 64.90265655517578, 48.85212707519531, 54.27690887451172, 45.31370162963867, 39.07728576660156, 54.539024353027344, 60.28456497192383, 15.455695152282715, 17.93985939025879, 19.295080184936523, 14.821859359741211, 16.88837432861328, 16.51140785217285, 17.152141571044922, 14.930269241333008, 4.104973793029785, 2.4851088523864746, 2.520260810852051, 2.804452657699585]"
4,[15],"[0, 6, 9, 16, 7, 59, 52, 33, 38, 54, 42, 43, 44, 55, 29, 26, 30, 27, 14, 18, 39, 28, 51, 20, 24, 1, 46, 37, 56, 41, 35, 22, 23, 40, 19, 21, 48, 8, 34, 45, 25, 53, 36, 47, 17, 50, 4, 57, 10, 49, 11, 5, 32, 31, 3, 12, 58, 2, 13]","[20.0, 55.0, 48.0, 7.0, 48.0, 2.0, 28.0, 38.0, 77.0, 60.0, 58.0, 26.0, 32.0, 0.0, 71.0, 63.0, 53.0, 37.0, 13.0, 39.0, 62.0, 30.0, 34.0, 53.0, 35.0, 0.0, 0.0, 63.0, 24.0, 54.0, 83.0, 32.0, 42.0, 50.0, 41.0, 41.0, 74.0, 68.0, 54.0, 29.0, 8.0, 71.0, 39.0, 51.0, 14.0, 0.0, 0.0, 2.0, 37.0, 6.0, 35.0, 0.0, 0.0, 0.0, 51.0, 20.0, 1.0, 0.0, 0.0]","[0.0, 19.999053955078125, 54.99898147583008, 54.998199462890625, 54.99655532836914, 54.99611282348633, 48.69255065917969, 48.1909294128418, 48.050025939941406, 70.5186996459961, 52.26459503173828, 60.58624267578125, 53.062965393066406, 49.84513473510742, 76.9984130859375, 67.81951904296875, 63.000083923339844, 61.631385803222656, 55.66790008544922, 57.91553497314453, 57.832275390625, 57.28429412841797, 51.75926208496094, 51.849365234375, 52.23614501953125, 48.503562927246094, 64.27279663085938, 65.00729370117188, 57.10663604736328, 42.21295166015625, 48.67676544189453, 49.40530776977539, 61.45439147949219, 52.58797073364258, 49.54730224609375, 36.962318420410156, 34.88917922973633, 62.4505615234375, 71.93479919433594, 65.18710327148438, 64.90265655517578, 48.85212707519531, 54.27690887451172, 45.31370162963867, 39.07728576660156, 54.539024353027344, 60.28456497192383, 15.455695152282715, 17.93985939025879, 19.295080184936523, 14.821859359741211, 16.88837432861328, 16.51140785217285, 17.152141571044922, 14.930269241333008, 4.104973793029785, 2.4851088523864746, 2.520260810852051, 2.804452657699585]"
5,[39],"[0, 17, 7, 19, 9, 40, 57, 33, 34, 41, 37, 52, 38, 25, 6, 11, 14, 29, 26, 27, 23, 28, 47, 48, 35, 36, 30, 51, 50, 16, 56, 20, 10, 5, 53, 31, 8, 4, 45, 54, 42, 44, 55, 24, 43, 46, 3, 32, 13, 22, 21, 18, 1, 2, 15, 49, 12, 58, 59]","[20.0, 14.0, 48.0, 41.0, 48.0, 50.0, 2.0, 38.0, 54.0, 54.0, 63.0, 28.0, 77.0, 8.0, 55.0, 35.0, 13.0, 71.0, 63.0, 37.0, 42.0, 30.0, 51.0, 74.0, 83.0, 39.0, 53.0, 34.0, 0.0, 7.0, 24.0, 53.0, 37.0, 0.0, 71.0, 0.0, 68.0, 0.0, 29.0, 60.0, 58.0, 32.0, 0.0, 35.0, 26.0, 0.0, 51.0, 0.0, 0.0, 32.0, 41.0, 39.0, 0.0, 0.0, 0.0, 6.0, 20.0, 1.0, 2.0]","[62.0, 61.99911880493164, 61.99905776977539, 61.99900817871094, 61.99889373779297, 61.99882125854492, 61.9971809387207, 60.814754486083984, 54.02559280395508, 57.07649612426758, 56.240543365478516, 56.481956481933594, 53.600502014160156, 66.0489273071289, 67.96074676513672, 54.99739074707031, 59.26145553588867, 54.108970642089844, 56.27378845214844, 60.38243865966797, 55.57515335083008, 51.10914993286133, 51.01116943359375, 51.313697814941406, 61.90574264526367, 55.65196990966797, 53.83077621459961, 49.37297821044922, 47.536014556884766, 50.925636291503906, 48.686519622802734, 48.073333740234375, 42.4826545715332, 45.329647064208984, 40.28489303588867, 39.32761001586914, 42.9925422668457, 54.31650161743164, 39.707393646240234, 35.1855354309082, 56.69357681274414, 56.3630485534668, 48.64620590209961, 36.51634216308594, 32.22108840942383, 26.851470947265625, 27.394563674926758, 24.69008445739746, 28.113780975341797, 26.534326553344727, 28.003223419189453, 29.27736473083496, 30.554645538330078, 21.663164138793945, 9.841813087463379, 4.030580043792725, 5.218092918395996, 4.159775257110596, -1.8656827211380005]"
6,[50],"[0, 6, 9, 16, 11, 17, 55, 4, 10, 31, 3, 14, 7, 13, 1, 29, 56, 15, 8, 58, 47, 42, 45, 44, 54, 25, 38, 52, 53, 36, 37, 34, 39, 23, 41, 51, 40, 35, 28, 48, 20, 30, 24, 27, 33, 19, 26, 43, 46, 22, 21, 18, 2, 5, 59, 57, 12, 49, 32]","[20.0, 55.0, 48.0, 7.0, 35.0, 14.0, 0.0, 0.0, 37.0, 0.0, 51.0, 13.0, 48.0, 0.0, 0.0, 71.0, 24.0, 0.0, 68.0, 1.0, 51.0, 58.0, 29.0, 32.0, 60.0, 8.0, 77.0, 28.0, 71.0, 39.0, 63.0, 54.0, 62.0, 42.0, 54.0, 34.0, 50.0, 83.0, 30.0, 74.0, 53.0, 53.0, 35.0, 37.0, 38.0, 41.0, 63.0, 26.0, 0.0, 32.0, 41.0, 39.0, 0.0, 0.0, 2.0, 2.0, 20.0, 6.0, 0.0]","[0.0, 19.999053955078125, 54.99898147583008, 54.99893569946289, 54.99894714355469, 54.998870849609375, 48.80866622924805, 34.899810791015625, 27.245691299438477, 24.4433536529541, 22.401647567749023, 50.10239791870117, 41.31189727783203, 30.340105056762695, 42.0617561340332, 39.3756103515625, 39.48958969116211, 35.87180709838867, 27.586931228637695, 37.298709869384766, 51.00046920776367, 60.21137619018555, 65.29177856445312, 57.98601150512695, 43.96452331542969, 37.03993225097656, 31.692283630371094, 62.57881164550781, 40.785282135009766, 57.722042083740234, 50.279022216796875, 56.201602935791016, 56.75309753417969, 59.78761291503906, 50.9372673034668, 55.35932922363281, 54.43935775756836, 45.6224250793457, 56.637264251708984, 60.91703414916992, 42.80461120605469, 44.2221794128418, 40.51240158081055, 42.852439880371094, 47.27295684814453, 35.658294677734375, 36.181854248046875, 32.99882125854492, 33.1345100402832, 20.124664306640625, 27.17775535583496, 33.20909881591797, 16.281536102294922, 8.122355461120605, 7.579466342926025, 10.019267082214355, 9.41777515411377, 10.845137596130371, 1.5581965446472168]"
7,[20],"[0, 17, 1, 18, 28, 19, 23, 58, 33, 24, 25, 48, 47, 41, 46, 40, 35, 37, 36, 45, 38, 52, 56, 29, 34, 51, 53, 39, 21, 22, 26, 27, 30, 54, 55, 57, 42, 43, 4, 44, 8, 50, 3, 31, 9, 16, 7, 14, 59, 15, 49, 6, 12, 10, 2, 13, 11, 5, 32]","[20.0, 14.0, 0.0, 39.0, 30.0, 41.0, 42.0, 1.0, 38.0, 35.0, 8.0, 74.0, 51.0, 54.0, 0.0, 50.0, 83.0, 63.0, 39.0, 29.0, 77.0, 28.0, 24.0, 71.0, 54.0, 34.0, 71.0, 62.0, 41.0, 32.0, 63.0, 37.0, 53.0, 60.0, 0.0, 2.0, 58.0, 26.0, 0.0, 32.0, 68.0, 0.0, 51.0, 0.0, 48.0, 7.0, 48.0, 13.0, 2.0, 0.0, 6.0, 55.0, 20.0, 37.0, 0.0, 0.0, 35.0, 0.0, 0.0]","[53.0, 52.99903869628906, 52.99893569946289, 52.99897384643555, 52.99666213989258, 52.99020767211914, 47.04390335083008, 40.17544174194336, 44.16147994995117, 51.57038879394531, 42.101314544677734, 44.90657424926758, 65.72227478027344, 50.4585075378418, 52.5130615234375, 52.620628356933594, 50.9732780456543, 70.83527374267578, 53.077579498291016, 54.895164489746094, 52.84370040893555, 66.71046447753906, 49.00785446166992, 55.38117599487305, 64.81071472167969, 51.15678787231445, 57.735435485839844, 47.637882232666016, 39.09033966064453, 40.4045295715332, 36.59050369262695, 41.81805419921875, 35.09867477416992, 27.67494010925293, 35.571353912353516, 37.58387756347656, 48.114967346191406, 44.39143753051758, 28.23676109313965, 27.029626846313477, 24.454248428344727, 42.613624572753906, 19.33611488342285, 9.112196922302246, 2.6570229530334473, 19.705764770507812, 4.221382141113281, 17.291828155517578, 9.805590629577637, 6.772884368896484, 9.735719680786133, 6.042884826660156, 4.720730304718018, 9.28539752960205, 4.821831226348877, 7.213038921356201, 2.06382417678833, 1.381695032119751, 1.5581965446472168]"
8,[14],"[0, 6, 9, 16, 7, 32, 11, 17, 50, 59, 1, 4, 58, 8, 48, 47, 42, 45, 54, 44, 27, 34, 40, 41, 39, 33, 56, 35, 23, 37, 28, 43, 38, 46, 25, 53, 36, 51, 20, 19, 30, 52, 24, 26, 31, 55, 15, 29, 22, 21, 18, 10, 57, 3, 12, 49, 13, 2, 5]","[20.0, 55.0, 48.0, 7.0, 48.0, 0.0, 35.0, 14.0, 0.0, 2.0, 0.0, 0.0, 1.0, 68.0, 74.0, 51.0, 58.0, 29.0, 60.0, 32.0, 37.0, 54.0, 50.0, 54.0, 62.0, 38.0, 24.0, 83.0, 42.0, 63.0, 30.0, 26.0, 77.0, 0.0, 8.0, 71.0, 39.0, 34.0, 53.0, 41.0, 53.0, 28.0, 35.0, 63.0, 0.0, 0.0, 0.0, 71.0, 32.0, 41.0, 39.0, 37.0, 2.0, 51.0, 20.0, 6.0, 0.0, 0.0, 0.0]","[13.0, 19.999120712280273, 54.999027252197266, 54.998897552490234, 54.99896240234375, 54.99806594848633, 54.98563003540039, 54.958168029785156, 48.964500427246094, 47.99976348876953, 47.391563415527344, 44.81258773803711, 46.475341796875, 33.524200439453125, 59.89372634887695, 73.99872589111328, 65.83563232421875, 60.70195770263672, 57.690887451171875, 57.904232025146484, 57.142452239990234, 44.04664611816406, 48.958099365234375, 56.95868682861328, 53.525089263916016, 54.158206939697266, 51.1304931640625, 52.4912223815918, 48.872066497802734, 46.37825393676758, 47.49454116821289, 36.09528732299805, 23.283897399902344, 50.16594696044922, 61.65013122558594, 39.22553253173828, 53.498233795166016, 41.34120178222656, 36.52957534790039, 42.68180465698242, 36.30452346801758, 45.59661865234375, 43.01605224609375, 34.02855682373047, 29.879457473754883, 25.584321975708008, 24.29257583618164, 19.99446678161621, 27.9563045501709, 21.11248016357422, 28.83247184753418, 17.232322692871094, 14.622724533081055, 12.704412460327148, 6.744415283203125, 6.145468711853027, 4.608964920043945, 9.49169921875, 0.8469442129135132]"
9,[29],"[0, 17, 1, 6, 33, 16, 34, 52, 53, 36, 46, 31, 28, 38, 50, 26, 11, 47, 35, 30, 27, 41, 48, 56, 51, 37, 20, 23, 40, 39, 9, 45, 55, 57, 24, 19, 10, 4, 54, 42, 43, 44, 5, 3, 8, 7, 49, 25, 13, 22, 21, 18, 2, 14, 15, 12, 58, 32, 59]","[20.0, 14.0, 0.0, 55.0, 38.0, 7.0, 54.0, 28.0, 71.0, 39.0, 0.0, 0.0, 30.0, 77.0, 0.0, 63.0, 35.0, 51.0, 83.0, 53.0, 37.0, 54.0, 74.0, 24.0, 34.0, 63.0, 53.0, 42.0, 50.0, 62.0, 48.0, 29.0, 0.0, 2.0, 35.0, 41.0, 37.0, 0.0, 60.0, 58.0, 26.0, 32.0, 0.0, 51.0, 68.0, 48.0, 6.0, 8.0, 0.0, 32.0, 41.0, 39.0, 0.0, 13.0, 0.0, 20.0, 1.0, 0.0, 2.0]","[71.0, 70.99908447265625, 20.00005340576172, 20.000049591064453, 70.99275207519531, 70.9906997680664, 70.99647521972656, 62.128170013427734, 54.07667541503906, 70.02742767333984, 53.9338264465332, 70.99932861328125, 61.9400749206543, 47.53458786010742, 57.06268310546875, 56.52477264404297, 48.994293212890625, 47.257545471191406, 50.19892120361328, 63.68266677856445, 58.99165344238281, 64.41609954833984, 55.02140808105469, 51.415382385253906, 50.3518180847168, 71.97715759277344, 34.09970474243164, 34.073177337646484, 39.87388610839844, 47.124229431152344, 28.676456451416016, 39.013282775878906, 29.296072006225586, 28.993528366088867, 29.569210052490234, 47.93033981323242, 29.769542694091797, 36.85439682006836, 25.090856552124023, 49.28769302368164, 30.925771713256836, 28.100095748901367, 28.25893211364746, 27.815580368041992, 48.985206604003906, 40.13943862915039, 31.645353317260742, 34.019264221191406, 23.221546173095703, 19.922752380371094, 25.54722023010254, 35.08041763305664, 15.973447799682617, 14.98049259185791, 10.126665115356445, 4.630508899688721, 3.976877212524414, 3.415175676345825, -1.8656827211380005]"
