random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[0, 1, 2, 12, 32, 31, 7, 18, 20, 24, 13, 22, 17, 38, 8, 21, 49, 59, 19, 26, 30, 27, 28, 35, 58, 3, 37, 48, 15, 45, 10, 46, 47, 23, 9, 6, 16, 50, 42, 55, 36, 11, 5, 4, 14, 29, 53, 56, 51, 25, 33, 57, 41, 40, 52, 34, 39, 43, 44]","[95.0, 98.0, 97.0, 50.0, 99.0, 55.0, 28.0, 92.0, 82.0, 85.0, 63.0, 97.0, 7.0, 19.0, 39.0, 99.0, 99.0, 0.0, 99.0, 99.0, 99.0, 99.0, 97.0, 43.0, 1.0, 10.0, 50.0, 8.0, 10.0, 2.0, 98.0, 16.0, 9.0, 4.0, 80.0, 95.0, 98.0, 0.0, 2.0, 0.0, 1.0, 97.0, 71.0, 33.0, 49.0, 99.0, 3.0, 2.0, 4.0, 16.0, 1.0, 1.0, 7.0, 9.0, 1.0, 2.0, 2.0, 1.0, 2.0]","[56.0, 94.9990234375, 97.99895477294922, 97.99901580810547, 97.99905395507812, 98.99141693115234, 97.00254821777344, 96.94536590576172, 91.9994888305664, 81.99983978271484, 82.25757598876953, 91.77703094482422, 85.72186279296875, 96.9481430053711, 88.31365203857422, 85.0451431274414, 92.22612762451172, 97.36905670166016, 84.84871673583984, 91.7857894897461, 85.05397033691406, 90.21282196044922, 96.8817367553711, 96.81596374511719, 91.80762481689453, 89.49349212646484, 91.47661590576172, 77.30986022949219, 65.62794494628906, 49.66991424560547, 61.4385871887207, 92.91854095458984, 67.25773620605469, 55.01658630371094, 66.57011413574219, 78.2701187133789, 89.87364196777344, 60.58327865600586, 55.764854431152344, 55.53076171875, 51.10592269897461, 46.88273239135742, 56.15236282348633, 70.27083587646484, 38.45381546020508, 31.21210289001465, 45.39383316040039, 37.56266403198242, 40.24245071411133, 52.777767181396484, 30.183895111083984, 19.992481231689453, 17.394725799560547, 12.500864028930664, 4.4037861824035645, 7.133269786834717, -0.05127342417836189, -1.4507356882095337, 0.9723924398422241]"
1,[8],"[0, 6, 9, 11, 16, 28, 29, 49, 26, 30, 27, 2, 15, 10, 32, 36, 14, 53, 38, 50, 56, 31, 45, 4, 3, 58, 25, 7, 46, 12, 13, 48, 52, 59, 5, 55, 17, 1, 35, 37, 20, 24, 23, 18, 33, 21, 19, 22, 51, 41, 34, 57, 40, 47, 43, 39, 44, 42, 54]","[95.0, 95.0, 80.0, 97.0, 98.0, 97.0, 99.0, 99.0, 99.0, 99.0, 99.0, 97.0, 10.0, 98.0, 99.0, 1.0, 49.0, 3.0, 19.0, 0.0, 2.0, 55.0, 2.0, 33.0, 10.0, 1.0, 16.0, 28.0, 16.0, 50.0, 63.0, 8.0, 1.0, 0.0, 71.0, 0.0, 7.0, 98.0, 43.0, 50.0, 82.0, 85.0, 4.0, 92.0, 1.0, 99.0, 99.0, 97.0, 4.0, 7.0, 2.0, 1.0, 9.0, 9.0, 1.0, 2.0, 2.0, 2.0, 56.0]","[39.0, 94.9991455078125, 94.99948120117188, 94.99948120117188, 94.99996185302734, 81.06151580810547, 97.0760498046875, 97.90962982177734, 97.00005340576172, 97.60710144042969, 98.99930572509766, 89.40477752685547, 96.99983215332031, 96.4552001953125, 95.03140258789062, 99.00056457519531, 97.79997253417969, 98.25167846679688, 95.94255065917969, 85.08748626708984, 77.49280548095703, 77.03713989257812, 62.03562927246094, 60.59355163574219, 79.41697692871094, 53.87893295288086, 44.773189544677734, 54.60781478881836, 59.09865188598633, 56.83070373535156, 70.35389709472656, 44.331424713134766, 55.179779052734375, 33.78931427001953, 19.063135147094727, 12.34164810180664, 9.000739097595215, 13.2544527053833, 15.734947204589844, 28.560548782348633, 29.18515968322754, 82.19876098632812, 71.39189147949219, 66.59725952148438, 30.24318504333496, 33.137638092041016, 81.90910339355469, 97.26019287109375, 31.242856979370117, 18.84618377685547, 11.659805297851562, 16.80717658996582, 9.190279006958008, 11.747878074645996, 4.7031097412109375, 1.2072663307189941, 0.4442621171474457, 1.776829719543457, -1.287495732307434]"
2,[55],"[0, 1, 2, 12, 32, 36, 14, 8, 13, 27, 26, 30, 28, 49, 3, 6, 11, 5, 15, 37, 31, 38, 16, 10, 4, 9, 7, 50, 25, 35, 48, 46, 20, 18, 22, 21, 24, 19, 17, 23, 29, 45, 58, 57, 52, 53, 51, 33, 59, 41, 40, 47, 42, 56, 39, 34, 44, 43, 54]","[95.0, 98.0, 97.0, 50.0, 99.0, 1.0, 49.0, 39.0, 63.0, 99.0, 99.0, 99.0, 97.0, 99.0, 10.0, 95.0, 97.0, 71.0, 10.0, 50.0, 55.0, 19.0, 98.0, 98.0, 33.0, 80.0, 28.0, 0.0, 16.0, 43.0, 8.0, 16.0, 82.0, 92.0, 97.0, 99.0, 85.0, 99.0, 7.0, 4.0, 99.0, 2.0, 1.0, 1.0, 1.0, 3.0, 4.0, 1.0, 0.0, 7.0, 9.0, 9.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 56.0]","[0.0, 94.99911499023438, 97.99897766113281, 97.99910736083984, 97.99854278564453, 98.99908447265625, 97.4169692993164, 96.83028411865234, 97.907958984375, 96.77606201171875, 98.71165466308594, 98.9999008178711, 95.12792205810547, 96.71040344238281, 91.81047821044922, 75.40792083740234, 92.33303833007812, 96.62181854248047, 94.91649627685547, 97.0971450805664, 82.96929931640625, 68.2790298461914, 73.45076751708984, 86.74039459228516, 71.62153625488281, 62.26361846923828, 64.60565948486328, 48.97889709472656, 51.54920959472656, 45.6441535949707, 44.92343521118164, 55.514278411865234, 59.568748474121094, 87.14761352539062, 87.75756072998047, 86.8640365600586, 95.11527252197266, 87.1037826538086, 88.61874389648438, 74.2770767211914, 46.996150970458984, 65.0858383178711, 62.01953887939453, 43.56498336791992, 44.08392333984375, 50.648075103759766, 47.73603820800781, 48.496498107910156, 23.114421844482422, 18.524484634399414, 9.528831481933594, 10.460232734680176, 4.360925674438477, 7.625725269317627, 4.534435272216797, 7.320240497589111, 1.8926150798797607, 2.030858278274536, -1.287495732307434]"
3,[15],"[0, 6, 9, 11, 16, 28, 29, 49, 26, 27, 30, 18, 37, 38, 35, 21, 19, 20, 24, 17, 54, 14, 51, 3, 58, 2, 10, 46, 4, 45, 22, 32, 31, 53, 1, 7, 8, 59, 36, 23, 33, 13, 42, 55, 48, 12, 25, 50, 5, 57, 41, 47, 40, 56, 52, 34, 39, 43, 44]","[95.0, 95.0, 80.0, 97.0, 98.0, 97.0, 99.0, 99.0, 99.0, 99.0, 99.0, 92.0, 50.0, 19.0, 43.0, 99.0, 99.0, 82.0, 85.0, 7.0, 56.0, 49.0, 4.0, 10.0, 1.0, 97.0, 98.0, 16.0, 33.0, 2.0, 97.0, 99.0, 55.0, 3.0, 98.0, 28.0, 39.0, 0.0, 1.0, 4.0, 1.0, 63.0, 2.0, 0.0, 8.0, 50.0, 16.0, 0.0, 71.0, 1.0, 7.0, 9.0, 9.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0]","[10.0, 94.99906921386719, 94.99952697753906, 94.99849700927734, 96.99776458740234, 81.19908905029297, 97.5715103149414, 97.54988098144531, 97.0001449584961, 97.62294006347656, 98.99958801269531, 80.00198364257812, 97.8333511352539, 83.29513549804688, 87.4013442993164, 82.24286651611328, 98.99114990234375, 99.00018310546875, 98.64183807373047, 90.53500366210938, 90.96200561523438, 97.32178497314453, 80.3623275756836, 67.45682525634766, 79.34949493408203, 83.38463592529297, 92.65393829345703, 95.93867492675781, 86.48283386230469, 80.86717224121094, 95.80960083007812, 68.56867980957031, 82.13249969482422, 58.45854949951172, 94.7562026977539, 87.11860656738281, 70.04344177246094, 59.116058349609375, 80.7824935913086, 67.5197525024414, 63.73097229003906, 62.10784149169922, 53.226173400878906, 45.35723876953125, 42.481712341308594, 36.45099639892578, 35.6406364440918, 51.30961990356445, 45.729888916015625, 23.96282386779785, 23.48644256591797, 15.462800025939941, 10.946839332580566, 11.786833763122559, 4.4037861824035645, 7.133269786834717, -0.05127342417836189, -1.4507356882095337, 0.9723924398422241]"
4,[15],"[0, 6, 9, 11, 16, 28, 29, 49, 26, 27, 30, 18, 37, 38, 35, 21, 19, 20, 24, 17, 54, 14, 51, 3, 58, 2, 10, 46, 4, 45, 22, 32, 31, 53, 1, 7, 8, 59, 36, 23, 33, 13, 42, 55, 48, 12, 25, 50, 5, 57, 41, 47, 40, 56, 52, 34, 39, 43, 44]","[95.0, 95.0, 80.0, 97.0, 98.0, 97.0, 99.0, 99.0, 99.0, 99.0, 99.0, 92.0, 50.0, 19.0, 43.0, 99.0, 99.0, 82.0, 85.0, 7.0, 56.0, 49.0, 4.0, 10.0, 1.0, 97.0, 98.0, 16.0, 33.0, 2.0, 97.0, 99.0, 55.0, 3.0, 98.0, 28.0, 39.0, 0.0, 1.0, 4.0, 1.0, 63.0, 2.0, 0.0, 8.0, 50.0, 16.0, 0.0, 71.0, 1.0, 7.0, 9.0, 9.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0]","[10.0, 94.99906921386719, 94.99952697753906, 94.99849700927734, 96.99776458740234, 81.19908905029297, 97.5715103149414, 97.54988098144531, 97.0001449584961, 97.62294006347656, 98.99958801269531, 80.00198364257812, 97.8333511352539, 83.29513549804688, 87.4013442993164, 82.24286651611328, 98.99114990234375, 99.00018310546875, 98.64183807373047, 90.53500366210938, 90.96200561523438, 97.32178497314453, 80.3623275756836, 67.45682525634766, 79.34949493408203, 83.38463592529297, 92.65393829345703, 95.93867492675781, 86.48283386230469, 80.86717224121094, 95.80960083007812, 68.56867980957031, 82.13249969482422, 58.45854949951172, 94.7562026977539, 87.11860656738281, 70.04344177246094, 59.116058349609375, 80.7824935913086, 67.5197525024414, 63.73097229003906, 62.10784149169922, 53.226173400878906, 45.35723876953125, 42.481712341308594, 36.45099639892578, 35.6406364440918, 51.30961990356445, 45.729888916015625, 23.96282386779785, 23.48644256591797, 15.462800025939941, 10.946839332580566, 11.786833763122559, 4.4037861824035645, 7.133269786834717, -0.05127342417836189, -1.4507356882095337, 0.9723924398422241]"
5,[39],"[0, 1, 2, 12, 32, 34, 7, 3, 17, 13, 55, 45, 8, 30, 26, 27, 48, 6, 11, 15, 4, 49, 28, 16, 24, 20, 37, 38, 18, 52, 14, 35, 41, 29, 10, 31, 25, 59, 21, 19, 22, 23, 53, 9, 51, 5, 50, 58, 46, 33, 36, 57, 56, 47, 40, 44, 43, 42, 54]","[95.0, 98.0, 97.0, 50.0, 99.0, 2.0, 28.0, 10.0, 7.0, 63.0, 0.0, 2.0, 39.0, 99.0, 99.0, 99.0, 8.0, 95.0, 97.0, 10.0, 33.0, 99.0, 97.0, 98.0, 85.0, 82.0, 50.0, 19.0, 92.0, 1.0, 49.0, 43.0, 7.0, 99.0, 98.0, 55.0, 16.0, 0.0, 99.0, 99.0, 97.0, 4.0, 3.0, 80.0, 4.0, 71.0, 0.0, 1.0, 16.0, 1.0, 1.0, 1.0, 2.0, 9.0, 9.0, 2.0, 1.0, 2.0, 56.0]","[2.0, 94.99913787841797, 97.99898529052734, 97.9979019165039, 97.97445678710938, 98.99903869628906, 97.09400939941406, 97.03028106689453, 97.42694091796875, 97.84296417236328, 97.03760528564453, 89.3371810913086, 93.1983413696289, 91.5400390625, 98.6709976196289, 98.99940490722656, 90.82564544677734, 86.11817932128906, 94.97494506835938, 91.68413543701172, 64.55870056152344, 80.13817596435547, 98.93889617919922, 79.01071166992188, 64.29637145996094, 92.5386734008789, 94.71138763427734, 90.41339111328125, 80.69246673583984, 74.63414001464844, 73.32786560058594, 65.48784637451172, 38.723960876464844, 41.50351333618164, 88.39859008789062, 45.62038040161133, 50.25922393798828, 56.43818283081055, 60.564517974853516, 96.9877700805664, 93.04533386230469, 83.38202667236328, 52.798980712890625, 88.77873992919922, 73.36436462402344, 34.56818771362305, 57.50423812866211, 40.00598907470703, 27.293703079223633, 31.216156005859375, 24.742206573486328, 18.04762840270996, 9.05122184753418, 9.294660568237305, 11.440268516540527, 2.4941227436065674, 1.9973633289337158, 1.776829719543457, -1.287495732307434]"
6,[50],"[0, 6, 9, 11, 16, 28, 29, 49, 26, 27, 30, 19, 20, 24, 51, 38, 15, 23, 22, 21, 18, 37, 3, 17, 55, 14, 56, 41, 58, 36, 1, 7, 10, 31, 2, 32, 4, 45, 53, 8, 33, 13, 59, 5, 12, 25, 46, 48, 34, 35, 57, 47, 52, 40, 43, 39, 44, 42, 54]","[95.0, 95.0, 80.0, 97.0, 98.0, 97.0, 99.0, 99.0, 99.0, 99.0, 99.0, 99.0, 82.0, 85.0, 4.0, 19.0, 10.0, 4.0, 97.0, 99.0, 92.0, 50.0, 10.0, 7.0, 0.0, 49.0, 2.0, 7.0, 1.0, 1.0, 98.0, 28.0, 98.0, 55.0, 97.0, 99.0, 33.0, 2.0, 3.0, 39.0, 1.0, 63.0, 0.0, 71.0, 50.0, 16.0, 16.0, 8.0, 2.0, 43.0, 1.0, 9.0, 1.0, 9.0, 1.0, 2.0, 2.0, 2.0, 56.0]","[0.0, 94.99911499023438, 94.99954986572266, 94.99950408935547, 94.99998474121094, 81.19879913330078, 97.99897766113281, 97.29975128173828, 97.00019836425781, 97.49867248535156, 98.99962615966797, 80.00069427490234, 98.99977111816406, 98.28472137451172, 92.05261993408203, 98.99944305419922, 95.65249633789062, 85.04095458984375, 87.00369262695312, 90.93927001953125, 85.64997863769531, 64.20626831054688, 62.131500244140625, 72.77567291259766, 39.3443603515625, 65.22985076904297, 46.487220764160156, 71.80845642089844, 28.449560165405273, 28.358625411987305, 54.86871337890625, 78.30409240722656, 29.61794090270996, 95.93350219726562, 73.09113311767578, 68.23548126220703, 60.859500885009766, 42.530155181884766, 58.99102783203125, 55.575927734375, 46.98067855834961, 64.38431549072266, 41.17754364013672, 42.292236328125, 56.985443115234375, 45.365108489990234, 21.245075225830078, 19.130884170532227, 14.159083366394043, 13.994617462158203, 13.33714485168457, 9.289843559265137, 14.540812492370605, 10.156316757202148, 4.7031097412109375, 1.2072663307189941, 0.4442621171474457, 1.776829719543457, -1.287495732307434]"
7,[20],"[0, 1, 2, 47, 7, 3, 8, 48, 32, 33, 13, 45, 18, 26, 30, 24, 17, 27, 28, 12, 9, 38, 16, 58, 6, 10, 49, 5, 15, 11, 4, 31, 14, 25, 46, 22, 21, 19, 37, 57, 50, 56, 23, 53, 36, 52, 29, 59, 51, 35, 41, 40, 34, 44, 39, 42, 54, 55, 43]","[95.0, 98.0, 97.0, 9.0, 28.0, 10.0, 39.0, 8.0, 99.0, 1.0, 63.0, 2.0, 92.0, 99.0, 99.0, 85.0, 7.0, 99.0, 97.0, 50.0, 80.0, 19.0, 98.0, 1.0, 95.0, 98.0, 99.0, 71.0, 10.0, 97.0, 33.0, 55.0, 49.0, 16.0, 16.0, 97.0, 99.0, 99.0, 50.0, 1.0, 0.0, 2.0, 4.0, 3.0, 1.0, 1.0, 99.0, 0.0, 4.0, 43.0, 7.0, 9.0, 2.0, 2.0, 2.0, 2.0, 56.0, 0.0, 1.0]","[82.0, 94.9991455078125, 97.99911499023438, 97.99907684326172, 97.99860382080078, 97.0018081665039, 97.67889404296875, 97.02774047851562, 96.39772033691406, 94.91927337646484, 98.08609771728516, 92.50338745117188, 82.0026626586914, 91.8132553100586, 98.99897003173828, 88.1050033569336, 72.63127136230469, 75.39912414550781, 69.66339111328125, 70.19790649414062, 41.71677780151367, 88.9467544555664, 67.89348602294922, 84.27326202392578, 90.52275085449219, 88.66496276855469, 95.40203094482422, 79.0390625, 77.66007995605469, 85.33526611328125, 96.33797454833984, 78.78572845458984, 63.897239685058594, 56.46261978149414, 66.8035659790039, 60.738746643066406, 86.18336486816406, 97.7715835571289, 78.69600677490234, 46.59607696533203, 56.33145523071289, 50.07329177856445, 81.55651092529297, 31.869693756103516, 21.310495376586914, 23.5440616607666, 21.093563079833984, 37.18419647216797, 22.429767608642578, 9.320820808410645, 13.309690475463867, 6.164992809295654, 12.98099422454834, 8.020198822021484, 3.7113869190216064, 2.000222682952881, 45.4002799987793, 38.90166091918945, 2.057657480239868]"
8,[14],"[0, 6, 9, 11, 16, 28, 29, 17, 26, 18, 49, 37, 27, 58, 30, 35, 22, 38, 2, 15, 10, 4, 32, 31, 50, 1, 59, 7, 13, 34, 21, 23, 8, 45, 19, 24, 20, 36, 53, 3, 46, 51, 33, 5, 12, 25, 57, 56, 48, 54, 42, 55, 41, 40, 47, 39, 52, 43, 44]","[95.0, 95.0, 80.0, 97.0, 98.0, 97.0, 99.0, 7.0, 99.0, 92.0, 99.0, 50.0, 99.0, 1.0, 99.0, 43.0, 97.0, 19.0, 97.0, 10.0, 98.0, 33.0, 99.0, 55.0, 0.0, 98.0, 0.0, 28.0, 63.0, 2.0, 99.0, 4.0, 39.0, 2.0, 99.0, 85.0, 82.0, 1.0, 3.0, 10.0, 16.0, 4.0, 1.0, 71.0, 50.0, 16.0, 1.0, 2.0, 8.0, 56.0, 2.0, 0.0, 7.0, 9.0, 9.0, 2.0, 1.0, 1.0, 2.0]","[49.0, 94.9990234375, 94.99950408935547, 94.99951171875, 94.99878692626953, 90.16549682617188, 97.0042495727539, 96.99994659423828, 96.99980163574219, 98.99897766113281, 98.08879852294922, 97.65119934082031, 97.35359954833984, 95.64588165283203, 98.76173400878906, 96.64928436279297, 91.9992904663086, 92.60188293457031, 66.8552474975586, 97.5947036743164, 96.07931518554688, 93.7759017944336, 69.9773941040039, 85.13765716552734, 68.6124038696289, 83.96391296386719, 70.9697494506836, 68.32935333251953, 67.38703918457031, 65.16748809814453, 82.0831527709961, 92.79935455322266, 69.06659698486328, 64.91818237304688, 67.48635864257812, 79.9531021118164, 61.275238037109375, 70.16067504882812, 56.32501220703125, 51.63922119140625, 49.21879577636719, 48.645484924316406, 44.031742095947266, 26.16758155822754, 39.316707611083984, 30.874208450317383, 31.347177505493164, 55.27761459350586, 22.535314559936523, 16.005165100097656, 48.78995895385742, 40.39577865600586, 16.271440505981445, 10.320510864257812, 10.96500015258789, 3.262533664703369, 6.545266151428223, -1.4507356882095337, 0.9723924398422241]"
9,[29],"[0, 17, 18, 1, 7, 53, 6, 58, 38, 11, 32, 12, 2, 13, 5, 10, 49, 16, 14, 15, 31, 46, 9, 21, 22, 57, 59, 44, 50, 3, 4, 25, 19, 24, 28, 26, 27, 30, 20, 23, 36, 8, 54, 56, 45, 42, 55, 51, 33, 37, 48, 35, 41, 47, 40, 34, 52, 39, 43]","[95.0, 7.0, 92.0, 98.0, 28.0, 3.0, 95.0, 1.0, 19.0, 97.0, 99.0, 50.0, 97.0, 63.0, 71.0, 98.0, 99.0, 98.0, 49.0, 10.0, 55.0, 16.0, 80.0, 99.0, 97.0, 1.0, 0.0, 2.0, 0.0, 10.0, 33.0, 16.0, 99.0, 85.0, 97.0, 99.0, 99.0, 99.0, 82.0, 4.0, 1.0, 39.0, 56.0, 2.0, 2.0, 2.0, 0.0, 4.0, 1.0, 50.0, 8.0, 43.0, 7.0, 9.0, 9.0, 2.0, 1.0, 2.0, 1.0]","[99.0, 98.99903106689453, 98.99800109863281, 94.99991607666016, 97.99982452392578, 97.99986267089844, 97.8905029296875, 97.66885375976562, 97.21466827392578, 95.00004577636719, 95.13578033447266, 96.55227661132812, 95.1292495727539, 96.11192321777344, 96.55552673339844, 92.87547302246094, 78.07306671142578, 70.0642318725586, 85.44662475585938, 93.78937530517578, 79.10685729980469, 63.95524597167969, 62.57683563232422, 89.85787200927734, 91.61309814453125, 66.66740417480469, 45.40310287475586, 54.63810348510742, 42.604148864746094, 55.24800491333008, 56.45512008666992, 44.73558044433594, 36.26078414916992, 98.99845123291016, 80.1839370727539, 89.34528350830078, 92.32257843017578, 92.45738983154297, 91.63040924072266, 84.52161407470703, 79.10456848144531, 60.178009033203125, 61.1865348815918, 55.09864807128906, 47.87427520751953, 55.161930084228516, 43.36017990112305, 32.1502571105957, 20.627059936523438, 35.16866683959961, 17.10614013671875, 19.377038955688477, 19.121307373046875, 15.121148109436035, 18.62763023376465, 7.066720485687256, 6.682359218597412, 2.8269476890563965, 2.057657480239868]"
