random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[0, 1, 2, 9, 29, 38, 43, 49, 50, 48, 57, 11, 12, 10, 15, 5, 3, 6, 32, 14, 59, 13, 31, 18, 22, 7, 4, 16, 21, 24, 23, 52, 42, 44, 55, 27, 56, 19, 20, 47, 25, 8, 34, 45, 37, 58, 26, 46, 30, 51, 28, 33, 36, 53, 39, 40, 41, 17, 35]","[50.0, 54.0, 48.0, 57.0, 13.0, 11.0, 18.0, 53.0, 10.0, 8.0, 0.0, 24.0, 33.0, 47.0, 37.0, 52.0, 25.0, 47.0, 59.0, 57.0, 0.0, 46.0, 6.0, 41.0, 13.0, 22.0, 31.0, 51.0, 31.0, 26.0, 21.0, 16.0, 36.0, 30.0, 11.0, 14.0, 5.0, 30.0, 20.0, 9.0, 37.0, 40.0, 1.0, 7.0, 13.0, 0.0, 9.0, 8.0, 14.0, 9.0, 18.0, 8.0, 11.0, 10.0, 6.0, 5.0, 6.0, 29.0, 3.0]","[24.0, 49.999107360839844, 53.99907684326172, 52.507022857666016, 56.9985237121582, 56.99861526489258, 56.99872589111328, 56.99198913574219, 55.4682502746582, 54.38678741455078, 53.931236267089844, 49.75462341308594, 48.27376937866211, 47.89809799194336, 46.492576599121094, 39.783443450927734, 37.99032974243164, 39.99275207519531, 45.86574172973633, 37.3830680847168, 36.45216751098633, 34.73219680786133, 30.429298400878906, 42.786190032958984, 40.80796432495117, 40.27485275268555, 45.00035858154297, 43.4359016418457, 38.10894012451172, 29.528642654418945, 25.4627628326416, 26.809097290039062, 24.100242614746094, 34.453887939453125, 28.94666862487793, 30.69991111755371, 24.652421951293945, 24.07654571533203, 26.53557586669922, 24.640779495239258, 26.581682205200195, 22.810834884643555, 16.474672317504883, 24.694963455200195, 16.851848602294922, 17.018476486206055, 16.424131393432617, 42.4139404296875, 15.746223449707031, 16.194332122802734, 12.9623441696167, 13.073144912719727, 8.71110725402832, 8.690323829650879, 7.692248344421387, 6.5982136726379395, 5.994887351989746, 5.929753303527832, 5.226334095001221]"
1,[8],"[0, 6, 11, 9, 28, 48, 55, 49, 42, 52, 29, 16, 10, 4, 14, 25, 59, 7, 2, 32, 1, 46, 18, 57, 13, 3, 58, 12, 22, 50, 44, 33, 31, 47, 5, 15, 34, 17, 53, 45, 54, 26, 43, 56, 27, 24, 21, 19, 20, 30, 23, 51, 38, 37, 39, 41, 36, 40, 35]","[50.0, 47.0, 24.0, 57.0, 18.0, 8.0, 11.0, 53.0, 36.0, 16.0, 13.0, 51.0, 47.0, 31.0, 57.0, 37.0, 0.0, 22.0, 48.0, 59.0, 54.0, 8.0, 41.0, 0.0, 46.0, 25.0, 0.0, 33.0, 13.0, 10.0, 30.0, 8.0, 6.0, 9.0, 52.0, 37.0, 1.0, 29.0, 10.0, 7.0, 24.0, 9.0, 18.0, 5.0, 14.0, 26.0, 31.0, 30.0, 20.0, 14.0, 21.0, 9.0, 11.0, 13.0, 6.0, 6.0, 11.0, 5.0, 3.0]","[40.0, 49.99909210205078, 49.99768829345703, 49.99905014038086, 56.99884796142578, 43.68519973754883, 56.99813461303711, 50.37169647216797, 50.66030502319336, 53.419517517089844, 50.29409408569336, 48.035667419433594, 49.86076354980469, 45.8572998046875, 46.71842575073242, 51.141902923583984, 40.664215087890625, 46.672828674316406, 39.82469177246094, 51.394569396972656, 43.92497634887695, 42.214569091796875, 44.635009765625, 43.00432205200195, 54.440189361572266, 47.470890045166016, 47.62165832519531, 47.92695236206055, 40.41143798828125, 47.273319244384766, 36.456085205078125, 35.15093994140625, 35.80113983154297, 37.21025848388672, 30.683734893798828, 45.794681549072266, 20.260568618774414, 34.2602653503418, 31.254531860351562, 31.168121337890625, 29.880414962768555, 17.80864715576172, 25.087814331054688, 16.26067352294922, 13.534955978393555, 15.508668899536133, 17.797109603881836, 14.159876823425293, 15.2644681930542, 17.907272338867188, 16.035964965820312, 20.261293411254883, 11.320714950561523, 9.108182907104492, 9.600885391235352, 6.871126651763916, 7.236043453216553, 6.201658725738525, 5.226334095001221]"
2,[55],"[0, 1, 2, 9, 49, 50, 57, 6, 12, 32, 7, 3, 31, 13, 10, 5, 15, 11, 14, 18, 22, 16, 4, 34, 46, 45, 21, 17, 8, 23, 29, 25, 56, 52, 19, 24, 47, 27, 20, 30, 51, 28, 59, 26, 58, 38, 36, 48, 33, 42, 54, 44, 43, 37, 39, 53, 41, 40, 35]","[50.0, 54.0, 48.0, 57.0, 53.0, 10.0, 0.0, 47.0, 33.0, 59.0, 22.0, 25.0, 6.0, 46.0, 47.0, 52.0, 37.0, 24.0, 57.0, 41.0, 13.0, 51.0, 31.0, 1.0, 8.0, 7.0, 31.0, 29.0, 40.0, 21.0, 13.0, 37.0, 5.0, 16.0, 30.0, 26.0, 9.0, 14.0, 20.0, 14.0, 9.0, 18.0, 0.0, 9.0, 0.0, 11.0, 11.0, 8.0, 8.0, 36.0, 24.0, 30.0, 18.0, 13.0, 6.0, 10.0, 6.0, 5.0, 3.0]","[11.0, 49.99903869628906, 53.99906921386719, 53.99893569946289, 56.998600006103516, 55.454002380371094, 56.99641418457031, 52.47172164916992, 53.18015670776367, 52.99232864379883, 49.55341339111328, 49.58344268798828, 51.733314514160156, 48.47750473022461, 47.82271957397461, 42.47539520263672, 46.3108024597168, 43.4908447265625, 41.551239013671875, 33.42420959472656, 41.607635498046875, 40.72211456298828, 41.58131790161133, 42.75425338745117, 39.08673858642578, 38.547786712646484, 34.47707748413086, 26.71323585510254, 23.640697479248047, 22.632362365722656, 27.23406982421875, 28.786287307739258, 28.969703674316406, 21.83390235900879, 19.25238037109375, 24.854917526245117, 17.65654945373535, 27.160051345825195, 16.599885940551758, 15.254634857177734, 16.558624267578125, 14.45320987701416, 16.343021392822266, 16.797161102294922, 11.686606407165527, 19.73680305480957, 9.758508682250977, 13.044275283813477, 12.131292343139648, 10.98291015625, 27.555702209472656, 23.77886390686035, 27.99248504638672, 10.396855354309082, 8.4228515625, 8.262060165405273, 5.929421901702881, 6.201658725738525, 5.226334095001221]"
3,[15],"[0, 6, 11, 1, 12, 32, 34, 47, 52, 49, 9, 25, 16, 10, 7, 2, 13, 31, 43, 14, 29, 57, 38, 18, 55, 3, 50, 5, 22, 46, 21, 26, 4, 8, 56, 44, 42, 19, 20, 24, 54, 45, 33, 30, 59, 28, 27, 23, 51, 37, 48, 53, 39, 41, 36, 40, 35, 17, 58]","[50.0, 47.0, 24.0, 54.0, 33.0, 59.0, 1.0, 9.0, 16.0, 53.0, 57.0, 37.0, 51.0, 47.0, 22.0, 48.0, 46.0, 6.0, 18.0, 57.0, 13.0, 0.0, 11.0, 41.0, 11.0, 25.0, 10.0, 52.0, 13.0, 8.0, 31.0, 9.0, 31.0, 40.0, 5.0, 30.0, 36.0, 30.0, 20.0, 26.0, 24.0, 7.0, 8.0, 14.0, 0.0, 18.0, 14.0, 21.0, 9.0, 13.0, 8.0, 10.0, 6.0, 6.0, 11.0, 5.0, 3.0, 29.0, 0.0]","[37.0, 49.9991455078125, 49.997589111328125, 49.999046325683594, 53.99897003173828, 53.9989128112793, 58.99893569946289, 54.63732147216797, 55.480857849121094, 53.53828048706055, 52.57326889038086, 53.82197570800781, 48.359474182128906, 51.321189880371094, 49.22890853881836, 47.809104919433594, 42.42963790893555, 40.76564407348633, 53.31397247314453, 43.889591217041016, 48.39490509033203, 43.37456130981445, 50.580142974853516, 48.36159133911133, 44.06602478027344, 44.83842086791992, 48.08686065673828, 37.203250885009766, 33.82585144042969, 37.06291198730469, 28.042753219604492, 29.766977310180664, 28.895601272583008, 28.258438110351562, 19.679960250854492, 19.197126388549805, 17.600872039794922, 17.177989959716797, 26.58238983154297, 23.608537673950195, 14.412424087524414, 14.602632522583008, 15.21383285522461, 19.246938705444336, 14.976550102233887, 12.2980375289917, 15.691128730773926, 11.882843971252441, 14.951616287231445, 12.222845077514648, 11.039375305175781, 8.83692741394043, 9.695808410644531, 7.204585075378418, 9.20991325378418, 5.389227390289307, 6.784317493438721, 1.0766772031784058, 1.038736343383789]"
4,[15],"[0, 6, 11, 1, 12, 32, 34, 47, 52, 49, 9, 25, 16, 10, 7, 2, 13, 31, 43, 14, 29, 57, 38, 18, 55, 3, 50, 5, 22, 46, 21, 26, 4, 8, 56, 44, 42, 19, 20, 24, 54, 45, 33, 30, 59, 28, 27, 23, 51, 37, 48, 53, 39, 41, 36, 40, 35, 17, 58]","[50.0, 47.0, 24.0, 54.0, 33.0, 59.0, 1.0, 9.0, 16.0, 53.0, 57.0, 37.0, 51.0, 47.0, 22.0, 48.0, 46.0, 6.0, 18.0, 57.0, 13.0, 0.0, 11.0, 41.0, 11.0, 25.0, 10.0, 52.0, 13.0, 8.0, 31.0, 9.0, 31.0, 40.0, 5.0, 30.0, 36.0, 30.0, 20.0, 26.0, 24.0, 7.0, 8.0, 14.0, 0.0, 18.0, 14.0, 21.0, 9.0, 13.0, 8.0, 10.0, 6.0, 6.0, 11.0, 5.0, 3.0, 29.0, 0.0]","[37.0, 49.9991455078125, 49.997589111328125, 49.999046325683594, 53.99897003173828, 53.9989128112793, 58.99893569946289, 54.63732147216797, 55.480857849121094, 53.53828048706055, 52.57326889038086, 53.82197570800781, 48.359474182128906, 51.321189880371094, 49.22890853881836, 47.809104919433594, 42.42963790893555, 40.76564407348633, 53.31397247314453, 43.889591217041016, 48.39490509033203, 43.37456130981445, 50.580142974853516, 48.36159133911133, 44.06602478027344, 44.83842086791992, 48.08686065673828, 37.203250885009766, 33.82585144042969, 37.06291198730469, 28.042753219604492, 29.766977310180664, 28.895601272583008, 28.258438110351562, 19.679960250854492, 19.197126388549805, 17.600872039794922, 17.177989959716797, 26.58238983154297, 23.608537673950195, 14.412424087524414, 14.602632522583008, 15.21383285522461, 19.246938705444336, 14.976550102233887, 12.2980375289917, 15.691128730773926, 11.882843971252441, 14.951616287231445, 12.222845077514648, 11.039375305175781, 8.83692741394043, 9.695808410644531, 7.204585075378418, 9.20991325378418, 5.389227390289307, 6.784317493438721, 1.0766772031784058, 1.038736343383789]"
5,[39],"[0, 1, 2, 9, 43, 49, 48, 42, 52, 50, 59, 32, 13, 7, 55, 6, 31, 10, 14, 3, 8, 44, 37, 15, 16, 11, 4, 28, 18, 22, 17, 56, 5, 57, 25, 47, 12, 27, 54, 46, 45, 20, 23, 34, 29, 24, 21, 19, 30, 51, 26, 38, 33, 53, 36, 35, 41, 40, 58]","[50.0, 54.0, 48.0, 57.0, 18.0, 53.0, 8.0, 36.0, 16.0, 10.0, 0.0, 59.0, 46.0, 22.0, 11.0, 47.0, 6.0, 47.0, 57.0, 25.0, 40.0, 30.0, 13.0, 37.0, 51.0, 24.0, 31.0, 18.0, 41.0, 13.0, 29.0, 5.0, 52.0, 0.0, 37.0, 9.0, 33.0, 14.0, 24.0, 8.0, 7.0, 20.0, 21.0, 1.0, 13.0, 26.0, 31.0, 30.0, 14.0, 9.0, 9.0, 11.0, 8.0, 10.0, 11.0, 3.0, 6.0, 5.0, 0.0]","[6.0, 49.99907302856445, 53.99909591674805, 52.5045280456543, 56.997989654541016, 56.9976692199707, 55.2957763671875, 54.324554443359375, 55.27831268310547, 56.22768020629883, 53.80345916748047, 50.5069694519043, 53.744258880615234, 49.47707748413086, 48.27252960205078, 51.04425048828125, 50.365421295166016, 47.50265884399414, 46.26641082763672, 48.91777038574219, 41.22794723510742, 35.62248229980469, 34.34517288208008, 28.376609802246094, 32.85847091674805, 31.030406951904297, 21.911611557006836, 24.04128074645996, 19.89018440246582, 39.44014358520508, 28.90764808654785, 23.69118881225586, 31.41355323791504, 38.359169006347656, 27.91567611694336, 31.915475845336914, 30.989110946655273, 17.988651275634766, 24.715496063232422, 20.062528610229492, 18.59658432006836, 17.276634216308594, 18.88111114501953, 16.975759506225586, 19.545040130615234, 20.272409439086914, 18.780092239379883, 21.421781539916992, 16.563894271850586, 19.127965927124023, 13.863541603088379, 9.358404159545898, 10.230323791503906, 9.814263343811035, 7.436864852905273, 5.709296226501465, 5.0079216957092285, 4.663149833679199, 1.038736343383789]"
6,[50],"[0, 6, 11, 3, 17, 13, 2, 45, 47, 15, 49, 29, 9, 42, 12, 16, 10, 8, 14, 32, 25, 4, 1, 7, 55, 57, 28, 31, 5, 51, 44, 33, 46, 54, 30, 34, 59, 18, 43, 21, 22, 56, 27, 48, 26, 24, 19, 23, 20, 40, 37, 38, 52, 53, 36, 39, 41, 35, 58]","[50.0, 47.0, 24.0, 25.0, 29.0, 46.0, 48.0, 7.0, 9.0, 37.0, 53.0, 13.0, 57.0, 36.0, 33.0, 51.0, 47.0, 40.0, 57.0, 59.0, 37.0, 31.0, 54.0, 22.0, 11.0, 0.0, 18.0, 6.0, 52.0, 9.0, 30.0, 8.0, 8.0, 24.0, 14.0, 1.0, 0.0, 41.0, 18.0, 31.0, 13.0, 5.0, 14.0, 8.0, 9.0, 26.0, 30.0, 21.0, 20.0, 5.0, 13.0, 11.0, 16.0, 10.0, 11.0, 6.0, 6.0, 3.0, 0.0]","[10.0, 49.9990119934082, 49.997859954833984, 49.995967864990234, 47.00096893310547, 49.993282318115234, 37.27467727661133, 35.96988296508789, 47.60500717163086, 48.597572326660156, 48.745792388916016, 50.052146911621094, 47.587608337402344, 50.772987365722656, 49.15960693359375, 47.58965301513672, 48.837284088134766, 45.94451904296875, 44.708160400390625, 46.593257904052734, 53.20584487915039, 45.97117614746094, 38.99897384643555, 42.63493347167969, 43.62544250488281, 51.415771484375, 45.57201385498047, 41.620174407958984, 34.75005340576172, 33.007904052734375, 33.64858627319336, 27.55875015258789, 20.216215133666992, 25.29746437072754, 16.45522117614746, 18.107746124267578, 21.288423538208008, 13.603731155395508, 29.385662078857422, 21.936107635498047, 40.780879974365234, 32.87649917602539, 17.971458435058594, 15.485084533691406, 11.700034141540527, 9.930306434631348, 10.849918365478516, 12.252198219299316, 11.8712158203125, 8.150945663452148, 7.503448009490967, 7.0006537437438965, 8.684778213500977, 9.857304573059082, 8.309425354003906, 8.373909950256348, 5.937252044677734, 6.864602088928223, 1.038736343383789]"
7,[20],"[0, 1, 2, 9, 39, 29, 38, 43, 49, 50, 48, 57, 6, 13, 12, 32, 15, 10, 17, 31, 14, 5, 11, 18, 22, 21, 3, 59, 4, 7, 16, 51, 52, 8, 19, 35, 26, 25, 24, 47, 46, 30, 23, 34, 45, 56, 44, 28, 27, 37, 53, 36, 42, 54, 33, 55, 41, 40, 58]","[50.0, 54.0, 48.0, 57.0, 6.0, 13.0, 11.0, 18.0, 53.0, 10.0, 8.0, 0.0, 47.0, 46.0, 33.0, 59.0, 37.0, 47.0, 29.0, 6.0, 57.0, 52.0, 24.0, 41.0, 13.0, 31.0, 25.0, 0.0, 31.0, 22.0, 51.0, 9.0, 16.0, 40.0, 30.0, 3.0, 9.0, 37.0, 26.0, 9.0, 8.0, 14.0, 21.0, 1.0, 7.0, 5.0, 30.0, 18.0, 14.0, 13.0, 10.0, 11.0, 36.0, 24.0, 8.0, 11.0, 6.0, 5.0, 0.0]","[20.0, 49.99912643432617, 53.9990119934082, 53.9990348815918, 56.99887466430664, 56.99715805053711, 54.354637145996094, 56.989444732666016, 55.56258773803711, 55.33747863769531, 54.22068786621094, 54.576969146728516, 48.949615478515625, 50.14635467529297, 49.44088363647461, 49.74863052368164, 48.06710433959961, 47.99820327758789, 46.08387756347656, 46.63570022583008, 49.63082504272461, 47.63212585449219, 47.013790130615234, 33.224483489990234, 40.89732360839844, 32.84328842163086, 30.387269973754883, 22.509761810302734, 41.23562240600586, 47.342830657958984, 40.09716033935547, 28.58690071105957, 28.36241912841797, 21.531925201416016, 29.843955993652344, 26.785154342651367, 33.65749740600586, 30.456562042236328, 24.68316650390625, 21.517229080200195, 18.850828170776367, 22.271610260009766, 25.318565368652344, 19.92062759399414, 18.429948806762695, 20.69683265686035, 18.50383949279785, 13.759072303771973, 13.579504013061523, 12.50703239440918, 11.472920417785645, 8.374164581298828, 10.192402839660645, 30.8093204498291, 6.6149725914001465, 6.53687047958374, 5.0079216957092285, 4.663149833679199, 1.038736343383789]"
8,[14],"[0, 1, 2, 31, 29, 34, 42, 32, 25, 59, 13, 50, 8, 6, 49, 5, 15, 28, 11, 4, 7, 17, 57, 10, 45, 12, 38, 48, 9, 3, 54, 16, 22, 27, 26, 52, 46, 21, 56, 18, 44, 43, 20, 47, 19, 24, 30, 33, 23, 51, 37, 53, 41, 39, 55, 36, 40, 35, 58]","[50.0, 54.0, 48.0, 6.0, 13.0, 1.0, 36.0, 59.0, 37.0, 0.0, 46.0, 10.0, 40.0, 47.0, 53.0, 52.0, 37.0, 18.0, 24.0, 31.0, 22.0, 29.0, 0.0, 47.0, 7.0, 33.0, 11.0, 8.0, 57.0, 25.0, 24.0, 51.0, 13.0, 14.0, 9.0, 16.0, 8.0, 31.0, 5.0, 41.0, 30.0, 18.0, 20.0, 9.0, 30.0, 26.0, 14.0, 8.0, 21.0, 9.0, 13.0, 10.0, 6.0, 6.0, 11.0, 11.0, 5.0, 3.0, 0.0]","[57.0, 56.999122619628906, 56.99896240234375, 56.99816131591797, 56.98088073730469, 55.4195442199707, 55.190914154052734, 54.09761428833008, 58.98646545410156, 58.72254943847656, 54.428375244140625, 56.377017974853516, 50.25046157836914, 51.8211784362793, 51.728031158447266, 53.12143325805664, 48.98155212402344, 49.95853042602539, 46.81235885620117, 49.562583923339844, 42.149295806884766, 46.02280044555664, 40.39619827270508, 46.526939392089844, 41.544166564941406, 47.78523635864258, 44.786170959472656, 35.46260452270508, 43.13642501831055, 48.42713165283203, 31.632450103759766, 27.509313583374023, 19.893802642822266, 17.99956512451172, 14.078813552856445, 15.447871208190918, 14.190345764160156, 13.176538467407227, 26.887907028198242, 22.08812141418457, 20.649038314819336, 31.947723388671875, 20.31946563720703, 24.79088592529297, 16.518701553344727, 25.60573959350586, 15.296769142150879, 14.060334205627441, 12.149361610412598, 14.541165351867676, 10.040817260742188, 9.58459186553955, 9.918718338012695, 8.971590042114258, 6.396790504455566, 8.164133071899414, 5.921545505523682, 6.864602088928223, 1.038736343383789]"
9,[29],"[0, 1, 2, 9, 38, 43, 49, 50, 48, 17, 57, 6, 32, 31, 13, 12, 15, 14, 10, 5, 11, 22, 25, 7, 4, 3, 16, 46, 8, 51, 47, 44, 34, 42, 54, 56, 45, 18, 21, 20, 19, 24, 59, 33, 30, 28, 27, 26, 37, 23, 35, 52, 53, 39, 41, 36, 55, 40, 58]","[50.0, 54.0, 48.0, 57.0, 11.0, 18.0, 53.0, 10.0, 8.0, 29.0, 0.0, 47.0, 59.0, 6.0, 46.0, 33.0, 37.0, 57.0, 47.0, 52.0, 24.0, 13.0, 37.0, 22.0, 31.0, 25.0, 51.0, 8.0, 40.0, 9.0, 9.0, 30.0, 1.0, 36.0, 24.0, 5.0, 7.0, 41.0, 31.0, 20.0, 30.0, 26.0, 0.0, 8.0, 14.0, 18.0, 14.0, 9.0, 13.0, 21.0, 3.0, 16.0, 10.0, 6.0, 6.0, 11.0, 11.0, 5.0, 0.0]","[13.0, 49.99908447265625, 53.99910354614258, 53.99903869628906, 56.99895095825195, 56.996070861816406, 56.74684143066406, 55.34581756591797, 54.902870178222656, 53.99882507324219, 53.91910934448242, 49.123802185058594, 49.97871017456055, 54.34564208984375, 55.18020248413086, 50.03914260864258, 47.99753189086914, 49.726295471191406, 50.586181640625, 50.84168243408203, 48.87744903564453, 35.6987419128418, 30.732824325561523, 49.08443832397461, 38.08284378051758, 39.62348175048828, 24.734821319580078, 26.55301856994629, 22.241817474365234, 21.654539108276367, 20.691638946533203, 18.932004928588867, 16.272300720214844, 15.51333999633789, 32.19940185546875, 15.699023246765137, 16.61665916442871, 13.297399520874023, 16.493406295776367, 17.516820907592773, 18.731801986694336, 23.2128963470459, 14.625287055969238, 18.902793884277344, 23.37234878540039, 14.9744873046875, 15.936665534973145, 13.281886100769043, 9.851381301879883, 11.290091514587402, 11.369180679321289, 9.830463409423828, 10.597177505493164, 9.733766555786133, 7.221436500549316, 8.975740432739258, 6.345825672149658, 4.663149833679199, 1.038736343383789]"
