random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[0, 1, 16, 27, 28, 29, 49, 3, 13, 30, 26, 33, 18, 37, 38, 52, 53, 56, 36, 39, 22, 17, 21, 12, 6, 15, 31, 24, 35, 20, 23, 19, 41, 51, 2, 34, 10, 9, 57, 58, 14, 8, 32, 50, 55, 40, 7, 5, 4, 59, 42, 45, 11, 25, 46, 47, 44, 43, 48]","[86.0, 70.0, 32.0, 91.0, 91.0, 87.0, 87.0, 80.0, 76.0, 75.0, 88.0, 94.0, 87.0, 94.0, 95.0, 31.0, 94.0, 26.0, 50.0, 68.0, 90.0, 83.0, 88.0, 77.0, 84.0, 37.0, 82.0, 89.0, 90.0, 92.0, 62.0, 86.0, 52.0, 88.0, 27.0, 68.0, 79.0, 91.0, 2.0, 37.0, 90.0, 94.0, 92.0, 21.0, 31.0, 43.0, 90.0, 74.0, 12.0, 0.0, 44.0, 14.0, 82.0, 85.0, 4.0, 5.0, 21.0, 54.0, 1.0]","[76.0, 85.99909210205078, 85.9989013671875, 85.99894714355469, 85.75093841552734, 88.96002960205078, 86.99927520751953, 85.99510955810547, 84.23507690429688, 90.88224029541016, 79.96145629882812, 84.2805404663086, 91.24816131591797, 93.34294128417969, 91.29615783691406, 92.28325653076172, 92.45758819580078, 90.88093566894531, 92.61518096923828, 87.46625518798828, 87.39904022216797, 87.70899963378906, 87.04796600341797, 83.2011489868164, 80.34202575683594, 83.30059814453125, 84.54844665527344, 81.45512390136719, 89.37003326416016, 88.55342864990234, 90.70243835449219, 84.8494873046875, 81.68143463134766, 82.44587707519531, 81.10880279541016, 85.25035095214844, 83.00373840332031, 78.02628326416016, 87.05239868164062, 85.46504974365234, 74.94556427001953, 78.36819458007812, 73.84564208984375, 66.65872955322266, 74.46515655517578, 65.46756744384766, 65.15681457519531, 69.25833892822266, 70.19303131103516, 73.38139343261719, 62.33488464355469, 51.110111236572266, 54.48434066772461, 52.241703033447266, 46.69121551513672, 41.32489013671875, 27.095306396484375, 14.016606330871582, 13.38888168334961]"
1,[8],"[0, 1, 2, 7, 3, 15, 4, 6, 55, 14, 9, 13, 32, 16, 25, 47, 59, 52, 49, 35, 37, 38, 45, 10, 41, 50, 22, 29, 17, 56, 20, 18, 24, 23, 19, 21, 40, 36, 53, 34, 31, 12, 26, 30, 27, 28, 58, 33, 39, 11, 5, 51, 46, 54, 57, 42, 44, 43, 48]","[86.0, 70.0, 27.0, 90.0, 80.0, 37.0, 12.0, 84.0, 31.0, 90.0, 91.0, 76.0, 92.0, 32.0, 85.0, 5.0, 0.0, 31.0, 87.0, 90.0, 94.0, 95.0, 14.0, 79.0, 52.0, 21.0, 90.0, 87.0, 83.0, 26.0, 92.0, 87.0, 89.0, 62.0, 86.0, 88.0, 43.0, 50.0, 94.0, 68.0, 82.0, 77.0, 88.0, 75.0, 91.0, 91.0, 37.0, 94.0, 68.0, 82.0, 74.0, 88.0, 4.0, 76.0, 2.0, 44.0, 21.0, 54.0, 1.0]","[94.0, 93.9991455078125, 93.99900817871094, 93.99901580810547, 93.9984359741211, 91.7762222290039, 90.47290802001953, 89.60881805419922, 92.63973999023438, 80.98945617675781, 75.0321044921875, 40.468997955322266, 40.26542282104492, 46.47743606567383, 55.92014694213867, 88.42193603515625, 87.21161651611328, 77.74031829833984, 65.50091552734375, 74.27497100830078, 89.07124328613281, 93.68367767333984, 82.1584701538086, 85.77890014648438, 76.28787231445312, 65.77980041503906, 54.424163818359375, 83.68584442138672, 55.13163757324219, 78.12492370605469, 76.10970306396484, 89.94010162353516, 76.38886260986328, 75.16988372802734, 73.50228118896484, 71.45601654052734, 80.70237731933594, 58.415771484375, 56.702762603759766, 85.42337036132812, 85.79503631591797, 76.97476959228516, 63.18352127075195, 86.80872344970703, 86.3466567993164, 85.18873596191406, 46.89903259277344, 59.16559600830078, 70.24949645996094, 55.924774169921875, 84.82886505126953, 41.617637634277344, 36.85799789428711, 23.62285041809082, 56.03038787841797, 28.819772720336914, 27.095306396484375, 14.016606330871582, 13.38888168334961]"
2,[55],"[0, 1, 16, 6, 11, 3, 13, 46, 8, 7, 25, 2, 4, 14, 59, 48, 15, 53, 36, 9, 52, 41, 34, 26, 30, 27, 38, 28, 37, 35, 49, 18, 40, 22, 29, 23, 20, 19, 21, 24, 17, 58, 33, 56, 39, 57, 31, 51, 32, 12, 5, 10, 50, 45, 42, 54, 47, 43, 44]","[86.0, 70.0, 32.0, 84.0, 82.0, 80.0, 76.0, 4.0, 94.0, 90.0, 85.0, 27.0, 12.0, 90.0, 0.0, 1.0, 37.0, 94.0, 50.0, 91.0, 31.0, 52.0, 68.0, 88.0, 75.0, 91.0, 95.0, 91.0, 94.0, 90.0, 87.0, 87.0, 43.0, 90.0, 87.0, 62.0, 92.0, 86.0, 88.0, 89.0, 83.0, 37.0, 94.0, 26.0, 68.0, 2.0, 82.0, 88.0, 92.0, 77.0, 74.0, 79.0, 21.0, 14.0, 44.0, 76.0, 5.0, 54.0, 21.0]","[31.0, 85.9990234375, 85.99903869628906, 85.99654388427734, 83.99982452392578, 74.27545166015625, 84.1820068359375, 80.91246795654297, 80.61217498779297, 93.99717712402344, 85.06228637695312, 84.4103775024414, 88.0287857055664, 84.37268829345703, 82.8375015258789, 85.00320434570312, 82.39334106445312, 79.56069946289062, 87.2466049194336, 76.44649505615234, 66.3965072631836, 62.240177154541016, 77.88849639892578, 62.181522369384766, 87.99964904785156, 78.81584167480469, 87.89710998535156, 90.38648223876953, 94.8301773071289, 78.2912826538086, 67.15853881835938, 57.71466827392578, 92.2854995727539, 85.95953369140625, 88.69587707519531, 87.62296295166016, 70.41793823242188, 71.88764190673828, 85.35173797607422, 86.70113372802734, 81.49454498291016, 66.10768127441406, 69.25119018554688, 79.96898651123047, 91.62696838378906, 75.22673797607422, 62.68230056762695, 70.947265625, 59.15595245361328, 69.65087890625, 66.89181518554688, 69.76251220703125, 60.6702995300293, 31.284927368164062, 21.94462776184082, 33.40428161621094, 20.7067928314209, 20.20840835571289, 36.495445251464844]"
3,[15],"[0, 6, 11, 9, 17, 19, 21, 22, 39, 58, 50, 18, 20, 16, 23, 42, 33, 35, 7, 51, 24, 8, 3, 34, 4, 45, 41, 32, 10, 36, 29, 56, 31, 5, 12, 53, 40, 1, 2, 59, 13, 25, 28, 27, 26, 30, 38, 52, 49, 37, 46, 14, 48, 43, 44, 57, 54, 55, 47]","[86.0, 84.0, 82.0, 91.0, 83.0, 86.0, 88.0, 90.0, 68.0, 37.0, 21.0, 87.0, 92.0, 32.0, 62.0, 44.0, 94.0, 90.0, 90.0, 88.0, 89.0, 94.0, 80.0, 68.0, 12.0, 14.0, 52.0, 92.0, 79.0, 50.0, 87.0, 26.0, 82.0, 74.0, 77.0, 94.0, 43.0, 70.0, 27.0, 0.0, 76.0, 85.0, 91.0, 91.0, 88.0, 75.0, 95.0, 31.0, 87.0, 94.0, 4.0, 90.0, 1.0, 54.0, 21.0, 2.0, 76.0, 31.0, 5.0]","[37.0, 85.9991226196289, 85.9977798461914, 84.00032043457031, 90.99897766113281, 88.6172866821289, 90.99827575683594, 90.99888610839844, 88.64707946777344, 88.375732421875, 90.88555908203125, 86.18031311035156, 86.0950927734375, 87.53157806396484, 91.00782012939453, 88.81011199951172, 88.093505859375, 89.03263092041016, 86.82366180419922, 86.44660949707031, 86.66751861572266, 80.75825500488281, 82.09465026855469, 81.16793823242188, 81.62084197998047, 72.92364501953125, 72.19202423095703, 71.87394714355469, 71.7608413696289, 67.36078643798828, 68.04483795166016, 63.231204986572266, 66.91336059570312, 74.98943328857422, 76.44963836669922, 75.90760803222656, 64.04642486572266, 53.101070404052734, 64.15483856201172, 58.6177978515625, 70.023681640625, 59.14992904663086, 54.08243179321289, 90.65491485595703, 91.16211700439453, 74.23960876464844, 61.25112533569336, 56.94293212890625, 41.40838623046875, 67.45462036132812, 57.176143646240234, 79.62283325195312, 46.969905853271484, 40.8625602722168, 40.320316314697266, 59.42128372192383, 42.454734802246094, 46.00569534301758, 13.26396656036377]"
4,[15],"[0, 6, 11, 9, 17, 19, 21, 22, 39, 58, 50, 18, 20, 16, 23, 42, 33, 35, 7, 51, 24, 8, 3, 34, 4, 45, 41, 32, 10, 36, 29, 56, 31, 5, 12, 53, 40, 1, 2, 59, 13, 25, 28, 27, 26, 30, 38, 52, 49, 37, 46, 14, 48, 43, 44, 57, 54, 55, 47]","[86.0, 84.0, 82.0, 91.0, 83.0, 86.0, 88.0, 90.0, 68.0, 37.0, 21.0, 87.0, 92.0, 32.0, 62.0, 44.0, 94.0, 90.0, 90.0, 88.0, 89.0, 94.0, 80.0, 68.0, 12.0, 14.0, 52.0, 92.0, 79.0, 50.0, 87.0, 26.0, 82.0, 74.0, 77.0, 94.0, 43.0, 70.0, 27.0, 0.0, 76.0, 85.0, 91.0, 91.0, 88.0, 75.0, 95.0, 31.0, 87.0, 94.0, 4.0, 90.0, 1.0, 54.0, 21.0, 2.0, 76.0, 31.0, 5.0]","[37.0, 85.9991226196289, 85.9977798461914, 84.00032043457031, 90.99897766113281, 88.6172866821289, 90.99827575683594, 90.99888610839844, 88.64707946777344, 88.375732421875, 90.88555908203125, 86.18031311035156, 86.0950927734375, 87.53157806396484, 91.00782012939453, 88.81011199951172, 88.093505859375, 89.03263092041016, 86.82366180419922, 86.44660949707031, 86.66751861572266, 80.75825500488281, 82.09465026855469, 81.16793823242188, 81.62084197998047, 72.92364501953125, 72.19202423095703, 71.87394714355469, 71.7608413696289, 67.36078643798828, 68.04483795166016, 63.231204986572266, 66.91336059570312, 74.98943328857422, 76.44963836669922, 75.90760803222656, 64.04642486572266, 53.101070404052734, 64.15483856201172, 58.6177978515625, 70.023681640625, 59.14992904663086, 54.08243179321289, 90.65491485595703, 91.16211700439453, 74.23960876464844, 61.25112533569336, 56.94293212890625, 41.40838623046875, 67.45462036132812, 57.176143646240234, 79.62283325195312, 46.969905853271484, 40.8625602722168, 40.320316314697266, 59.42128372192383, 42.454734802246094, 46.00569534301758, 13.26396656036377]"
5,[39],"[0, 1, 2, 6, 16, 3, 14, 8, 42, 25, 13, 50, 7, 59, 47, 11, 15, 53, 4, 34, 36, 38, 41, 29, 22, 37, 49, 35, 31, 17, 18, 20, 28, 26, 27, 30, 24, 23, 33, 19, 51, 21, 56, 57, 52, 12, 45, 9, 58, 32, 10, 40, 5, 46, 54, 55, 44, 43, 48]","[86.0, 70.0, 27.0, 84.0, 32.0, 80.0, 90.0, 94.0, 44.0, 85.0, 76.0, 21.0, 90.0, 0.0, 5.0, 82.0, 37.0, 94.0, 12.0, 68.0, 50.0, 95.0, 52.0, 87.0, 90.0, 94.0, 87.0, 90.0, 82.0, 83.0, 87.0, 92.0, 91.0, 88.0, 91.0, 75.0, 89.0, 62.0, 94.0, 86.0, 88.0, 88.0, 26.0, 2.0, 31.0, 77.0, 14.0, 91.0, 37.0, 92.0, 79.0, 43.0, 74.0, 4.0, 76.0, 31.0, 21.0, 54.0, 1.0]","[68.0, 85.9991455078125, 85.99906158447266, 85.99784088134766, 85.99807739257812, 85.99024200439453, 85.99530792236328, 89.37166595458984, 92.86650085449219, 83.15345764160156, 86.03810119628906, 88.44324493408203, 86.59993743896484, 80.06966400146484, 76.33102416992188, 86.6003646850586, 86.47412872314453, 83.9798812866211, 85.01065063476562, 77.9853515625, 81.300048828125, 75.69990539550781, 84.63204956054688, 84.72147369384766, 72.48634338378906, 83.95784759521484, 85.81973266601562, 84.02950286865234, 72.74848937988281, 68.73867797851562, 76.99710083007812, 80.08836364746094, 74.08106994628906, 91.29933166503906, 89.22168731689453, 87.18132019042969, 68.84469604492188, 90.04644775390625, 74.1955795288086, 71.73946380615234, 72.7088623046875, 86.25726318359375, 71.56962585449219, 72.54196166992188, 68.36389923095703, 75.3456802368164, 68.25469970703125, 73.06491088867188, 67.45018005371094, 55.54983139038086, 72.59525299072266, 57.87074279785156, 57.3078498840332, 50.81626892089844, 42.308650970458984, 63.56520462036133, 27.095306396484375, 14.016606330871582, 13.38888168334961]"
6,[50],"[0, 6, 11, 27, 17, 16, 28, 29, 30, 23, 35, 37, 26, 38, 45, 53, 36, 34, 41, 1, 2, 31, 18, 22, 20, 19, 21, 33, 24, 51, 39, 58, 3, 12, 5, 56, 4, 49, 46, 32, 13, 40, 48, 59, 10, 14, 15, 7, 54, 42, 43, 57, 9, 8, 55, 44, 25, 52, 47]","[86.0, 84.0, 82.0, 91.0, 83.0, 32.0, 91.0, 87.0, 75.0, 62.0, 90.0, 94.0, 88.0, 95.0, 14.0, 94.0, 50.0, 68.0, 52.0, 70.0, 27.0, 82.0, 87.0, 90.0, 92.0, 86.0, 88.0, 94.0, 89.0, 88.0, 68.0, 37.0, 80.0, 77.0, 74.0, 26.0, 12.0, 87.0, 4.0, 92.0, 76.0, 43.0, 1.0, 0.0, 79.0, 90.0, 37.0, 90.0, 76.0, 44.0, 54.0, 2.0, 91.0, 94.0, 31.0, 21.0, 85.0, 31.0, 5.0]","[21.0, 85.99901580810547, 85.9978256225586, 84.00019836425781, 90.99890899658203, 90.99885559082031, 90.99897003173828, 90.99917602539062, 88.318115234375, 87.61221313476562, 87.55823516845703, 90.00018310546875, 89.5877914428711, 90.98014068603516, 89.33116912841797, 92.5739517211914, 92.24622344970703, 88.86721801757812, 87.48554992675781, 86.36759948730469, 83.53007507324219, 82.43062591552734, 81.52510070800781, 84.0247802734375, 82.37921142578125, 84.81051635742188, 86.22232818603516, 85.87123107910156, 84.48328399658203, 81.2295913696289, 82.81157684326172, 78.64185333251953, 81.2997817993164, 78.92506408691406, 76.14448547363281, 78.57203674316406, 71.48736572265625, 74.40371704101562, 67.87732696533203, 60.827598571777344, 57.48021697998047, 63.76822280883789, 60.070762634277344, 69.15135955810547, 61.57561111450195, 71.55663299560547, 60.2855110168457, 56.86196517944336, 33.96176528930664, 25.85538101196289, 38.63739776611328, 41.23131561279297, 48.26625061035156, 51.338340759277344, 62.463687896728516, 36.76325988769531, 23.850282669067383, 55.11952209472656, 13.26396656036377]"
7,[20],"[0, 17, 1, 18, 26, 23, 28, 27, 35, 41, 30, 22, 8, 15, 2, 29, 38, 49, 33, 39, 19, 21, 24, 58, 37, 6, 56, 3, 14, 9, 57, 52, 7, 53, 34, 36, 4, 54, 51, 31, 12, 59, 42, 13, 55, 32, 10, 11, 25, 50, 40, 45, 5, 46, 16, 47, 44, 43, 48]","[86.0, 83.0, 70.0, 87.0, 88.0, 62.0, 91.0, 91.0, 90.0, 52.0, 75.0, 90.0, 94.0, 37.0, 27.0, 87.0, 95.0, 87.0, 94.0, 68.0, 86.0, 88.0, 89.0, 37.0, 94.0, 84.0, 26.0, 80.0, 90.0, 91.0, 2.0, 31.0, 90.0, 94.0, 68.0, 50.0, 12.0, 76.0, 88.0, 82.0, 77.0, 0.0, 44.0, 76.0, 31.0, 92.0, 79.0, 82.0, 85.0, 21.0, 43.0, 14.0, 74.0, 4.0, 32.0, 5.0, 21.0, 54.0, 1.0]","[92.0, 91.99911499023438, 91.99897766113281, 91.99898529052734, 91.99867248535156, 91.19567108154297, 91.9984130859375, 91.00009155273438, 90.84403991699219, 90.11920166015625, 86.648193359375, 88.38278198242188, 85.90739440917969, 88.19715118408203, 89.51298522949219, 86.94630432128906, 86.46133422851562, 84.78087615966797, 79.83180236816406, 92.1033935546875, 85.91338348388672, 85.92821502685547, 87.5562973022461, 84.59837341308594, 91.61151123046875, 84.5126953125, 84.159912109375, 79.75247955322266, 80.8291015625, 80.33527374267578, 82.86042785644531, 91.299560546875, 75.74237060546875, 70.58065032958984, 82.38565826416016, 77.94285583496094, 69.44477081298828, 75.68746948242188, 69.89773559570312, 71.32157135009766, 80.04977416992188, 75.26313018798828, 76.31055450439453, 71.69881439208984, 70.3737564086914, 71.47611999511719, 77.2545166015625, 65.36727905273438, 63.15174102783203, 57.5854377746582, 59.60841751098633, 55.8733024597168, 49.436153411865234, 43.77762222290039, 32.5313835144043, 41.32489013671875, 27.095306396484375, 14.016606330871582, 13.38888168334961]"
8,[14],"[0, 1, 2, 7, 6, 11, 42, 16, 5, 8, 50, 4, 15, 3, 9, 33, 51, 35, 39, 22, 37, 38, 41, 56, 19, 18, 26, 28, 27, 20, 30, 21, 23, 24, 49, 57, 29, 17, 40, 36, 34, 46, 58, 25, 59, 31, 53, 52, 12, 32, 13, 10, 55, 47, 45, 54, 44, 43, 48]","[86.0, 70.0, 27.0, 90.0, 84.0, 82.0, 44.0, 32.0, 74.0, 94.0, 21.0, 12.0, 37.0, 80.0, 91.0, 94.0, 88.0, 90.0, 68.0, 90.0, 94.0, 95.0, 52.0, 26.0, 86.0, 87.0, 88.0, 91.0, 91.0, 92.0, 75.0, 88.0, 62.0, 89.0, 87.0, 2.0, 87.0, 83.0, 43.0, 50.0, 68.0, 4.0, 37.0, 85.0, 0.0, 82.0, 94.0, 31.0, 77.0, 92.0, 76.0, 79.0, 31.0, 5.0, 14.0, 76.0, 21.0, 54.0, 1.0]","[90.0, 89.99903106689453, 89.9990234375, 89.99837493896484, 86.00006866455078, 85.99969482421875, 83.99964904785156, 81.2432632446289, 79.02940368652344, 89.99916076660156, 90.82624816894531, 86.11925506591797, 88.58077239990234, 74.31216430664062, 59.03668212890625, 48.54814147949219, 93.35818481445312, 93.93431854248047, 90.29716491699219, 89.08204650878906, 83.83003997802734, 90.76593017578125, 83.3079605102539, 82.51765441894531, 80.8452377319336, 84.49415588378906, 81.98149871826172, 88.32276153564453, 88.62948608398438, 86.8912124633789, 90.61724090576172, 86.35580444335938, 87.3082504272461, 85.60305786132812, 84.48668670654297, 82.46479034423828, 83.36756134033203, 82.4195785522461, 65.8803482055664, 69.39085388183594, 68.52600860595703, 71.9590835571289, 70.05326843261719, 71.56147766113281, 72.29332733154297, 69.08452606201172, 69.05642700195312, 63.6634407043457, 60.633270263671875, 66.41388702392578, 83.99571990966797, 64.18571472167969, 41.087894439697266, 45.514747619628906, 42.716678619384766, 34.01188659667969, 27.095306396484375, 14.016606330871582, 13.38888168334961]"
9,[29],"[0, 17, 18, 19, 25, 33, 39, 34, 2, 47, 56, 26, 36, 27, 35, 28, 30, 23, 37, 38, 6, 49, 21, 22, 45, 51, 20, 9, 57, 46, 53, 31, 24, 3, 52, 32, 1, 8, 10, 13, 12, 59, 41, 40, 58, 7, 11, 4, 5, 16, 15, 50, 14, 55, 54, 42, 44, 43, 48]","[86.0, 83.0, 87.0, 86.0, 85.0, 94.0, 68.0, 68.0, 27.0, 5.0, 26.0, 88.0, 50.0, 91.0, 90.0, 91.0, 75.0, 62.0, 94.0, 95.0, 84.0, 87.0, 88.0, 90.0, 14.0, 88.0, 92.0, 91.0, 2.0, 4.0, 94.0, 82.0, 89.0, 80.0, 31.0, 92.0, 70.0, 94.0, 79.0, 76.0, 77.0, 0.0, 52.0, 43.0, 37.0, 90.0, 82.0, 12.0, 74.0, 32.0, 37.0, 21.0, 90.0, 31.0, 76.0, 44.0, 21.0, 54.0, 1.0]","[87.0, 86.99911499023438, 86.99785614013672, 86.9994888305664, 86.99906921386719, 86.99810791015625, 93.99876403808594, 93.99861907958984, 86.9995346069336, 89.14258575439453, 89.66287994384766, 86.81471252441406, 87.99311065673828, 86.56172180175781, 90.91104888916016, 90.90878295898438, 89.7801513671875, 87.25251007080078, 89.79537963867188, 92.48607635498047, 87.78914642333984, 85.7403335571289, 84.7303466796875, 86.06082153320312, 79.65007781982422, 80.00101470947266, 76.06887817382812, 79.9119644165039, 86.51675415039062, 78.44548797607422, 82.50128173828125, 88.28748321533203, 87.67886352539062, 85.83556365966797, 86.52587890625, 85.64889526367188, 86.01811981201172, 85.47676849365234, 83.00708770751953, 82.09600067138672, 82.5174789428711, 79.42652893066406, 78.2375259399414, 64.53849792480469, 44.44968795776367, 34.00752258300781, 78.63526153564453, 77.1073226928711, 73.51468658447266, 51.03328323364258, 61.51222610473633, 46.09367370605469, 48.79362106323242, 10.967875480651855, 20.821931838989258, 28.819772720336914, 27.095306396484375, 14.016606330871582, 13.38888168334961]"
